A                : ste                  ve                   Ġuh                  Ġwith                Ġthe                 Ġelection            Ġyear                Ġand
Timings          : (0.102, 0.236)       (0.236, 0.37)        (0.37, 0.778)        (1.056, 1.18)        (1.18, 1.24)         (1.24, 1.71)         (1.71, 1.86)         (1.86, 2.15)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (0.102, 0.236)       (0.236, 0.37)        (0.37, 0.778)        (1.056, 1.18)        (1.18, 1.24)         (1.24, 1.71)         (1.71, 1.86)         (1.86, 2.15)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġwhat                not                  Ġcoming              Ġup                  Ġdo                  Ġyou                 Ġthink               Ġwe
Timings          : (2.15, 2.315)        (2.315, 2.48)        (2.48, 2.65)         (2.65, 2.75)         (2.75, 2.82)         (2.82, 2.88)         (2.88, 3.04)         (3.04, 3.17)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (2.15, 2.315)        (2.315, 2.48)        (2.48, 2.65)         (2.65, 2.75)         (2.75, 2.82)         (2.82, 2.88)         (2.88, 3.04)         (3.04, 3.17)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġought               Ġto                  Ġcut                 Ġtaxes               Ġraise               Ġthem                Ġor                  Ġor
Timings          : (3.17, 3.23)         (3.23, 3.31)         (3.31, 3.52)         (3.52, 3.91)         (3.91, 4.2)          (4.2, 4.36)          (4.36, 4.42)         (4.42, 4.88)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (3.17, 3.23)         (3.23, 3.31)         (3.31, 3.52)         (3.52, 3.91)         (3.91, 4.2)          (4.2, 4.36)          (4.36, 4.42)         (4.42, 4.88)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġor                  Ġwhat                Ġdo                  Ġyou                 Ġthink               <eot>                <emp>                <emp>
Timings          : (4.88, 5.01)         (5.01, 5.14)         (5.14, 5.2)          (5.2, 5.26)          (5.26, 5.586)        (-1.0, -1.0)         (6.827, 7.059)       (7.059, 7.291)
Token Types      : 1                    1                    1                    1                    1                    1                    0                    0
turn_ids         : 74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       74441446916096       0                    0
turn_end_types   : 1                    1                    1                    1                    1                    1                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                well                 Ġthat                's
Timings          : (4.88, 5.01)         (5.01, 5.14)         (5.14, 5.2)          (5.2, 5.26)          (5.26, 5.586)        (6.693, 6.827)       (6.827, 7.059)       (7.059, 7.291)
Token Types      : 0                    0                    0                    0                    0                    1                    1                    1
turn_ids         : 0                    0                    0                    0                    0                    74441983787009       74441983787009       74441983787009
turn_end_types   : 0                    0                    0                    0                    0                    1                    1                    1
