A                : uh                   Ġwell                Ġi                   'm                   Ġnot                 Ġsure                Ġhow                 Ġit                 
Timings          : (0.15, 0.45)         (0.45, 1.04)         (1.04, 1.075)        (1.075, 1.11)        (1.11, 1.26)         (1.26, 1.44)         (1.44, 1.62)         (1.62, 1.72)        
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (0.15, 0.45)         (0.45, 1.04)         (1.04, 1.075)        (1.075, 1.11)        (1.11, 1.26)         (1.26, 1.44)         (1.44, 1.62)         (1.62, 1.72)        
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġis                  Ġin                  Ġge                  org                  ia                   Ġbut                 Ġin                  Ġin                 
Timings          : (1.72, 1.86)         (1.86, 2.01)         (2.01, 2.213)        (2.213, 2.417)       (2.417, 2.62)        (2.64, 3.02)         (3.02, 3.29)         (3.4, 3.59)         
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (1.72, 1.86)         (1.86, 2.01)         (2.01, 2.213)        (2.213, 2.417)       (2.417, 2.62)        (2.64, 3.02)         (3.02, 3.29)         (3.4, 3.59)         
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġp                   itt                  sburgh               Ġthe                 Ġrate                Ġthe                 Ġcrime               Ġrate               
Timings          : (3.59, 3.79)         (3.79, 3.99)         (3.99, 4.19)         (4.61, 4.89)         (4.94, 5.08)         (5.08, 5.17)         (5.17, 5.57)         (5.57, 5.85)        
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (3.59, 3.79)         (3.79, 3.99)         (3.99, 4.19)         (4.61, 4.89)         (4.94, 5.08)         (5.08, 5.17)         (5.17, 5.57)         (5.57, 5.85)        
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġreally              Ġis                  Ġnot                 Ġvery                Ġhigh                Ġat                  Ġthe                 Ġmoment             
Timings          : (5.85, 6.17)         (6.17, 6.31)         (6.31, 6.61)         (6.61, 6.88)         (6.91, 7.32)         (7.43, 7.59)         (7.59, 7.66)         (7.66, 8.2)         
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (5.85, 6.17)         (6.17, 6.31)         (6.31, 6.61)         (6.61, 6.88)         (6.91, 7.32)         (7.43, 7.59)         (7.59, 7.66)         (7.66, 8.2)         
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġis                  Ġthat                Ġis                  Ġthat                Ġtrue                Ġfor                 Ġfor                 Ġat                 
Timings          : (8.67, 8.76)         (8.76, 8.92)         (9.02, 9.13)         (9.13, 9.38)         (9.38, 9.6)          (9.6, 9.94)          (9.94, 10.35)        (10.72, 10.847)     
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648       74492986523648      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (8.67, 8.76)         (8.76, 8.92)         (9.02, 9.13)         (9.13, 9.38)         (9.38, 9.6)          (9.6, 9.94)          (9.94, 10.35)        (10.72, 10.847)     
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : l                    anta                 <yield>              <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (10.847, 10.973)     (10.973, 11.1)       (-1.0, -1.0)         (11.38, 11.82)       (11.82, 12.16)       (12.16, 12.26)       (12.26, 13.091)      (13.091, 13.808)    
Token Types      : 1                    1                    1                    0                    0                    0                    0                    0                   
turn_ids         : 74492986523648       74492986523648       74492986523648       0                    0                    0                    0                    0                   
turn_end_types   : 2                    2                    2                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : atl                  <emp>                anta                 Ġis                  Ġkind                Ġof                  Ġhigh                Ġuh                 
Timings          : (10.8, 11.09)        (10.973, 11.1)       (11.09, 11.38)       (11.38, 11.82)       (11.82, 12.16)       (12.16, 12.26)       (12.26, 13.091)      (13.091, 13.808)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (14.532, 14.687)     (14.687, 14.843)     (14.843, 14.965)     (14.965, 15.088)     (15.088, 15.432)     (15.432, 15.672)     (15.672, 15.762)     (15.762, 16.062)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġit                  's                   Ġit                  's                   Ġlower               Ġthan                Ġit                  Ġhas                
Timings          : (14.532, 14.687)     (14.687, 14.843)     (14.843, 14.965)     (14.965, 15.088)     (15.088, 15.432)     (15.432, 15.672)     (15.672, 15.762)     (15.762, 16.062)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (16.062, 16.242)     (16.242, 16.392)     (16.392, 16.462)     (16.462, 17.422)     (17.422, 18.056)     (18.655, 18.792)     (18.792, 19.223)     (19.314, 19.982)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġbeen                Ġin                  Ġthe                 Ġpast                Ġuh                  Ġi                   Ġguess               Ġnineteen           
Timings          : (16.062, 16.242)     (16.242, 16.392)     (16.392, 16.462)     (16.462, 17.422)     (17.422, 18.056)     (18.655, 18.792)     (18.792, 19.223)     (19.314, 19.982)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (19.982, 20.382)     (20.382, 20.652)     (20.652, 20.762)     (20.762, 20.872)     (20.872, 21.322)     (21.582, 21.722)     (21.722, 22.102)     (22.102, 22.654)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġninety              Ġis                  Ġwhen                Ġit                  Ġstart               Ġto                  Ġdrop                Ġoff                
Timings          : (19.982, 20.382)     (20.382, 20.652)     (20.652, 20.762)     (20.762, 20.872)     (20.872, 21.322)     (21.582, 21.722)     (21.722, 22.102)     (22.102, 22.654)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (22.835, 23.252)     (23.252, 23.752)     (23.752, 24.072)     (24.072, 24.132)     (24.132, 24.412)     (24.412, 24.692)     (24.692, 25.172)     (25.172, 25.332)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġand                 Ġusually             Ġaround              Ġthe                 Ġchrist              mas                  Ġseason              Ġis                 
Timings          : (22.835, 23.252)     (23.252, 23.752)     (23.752, 24.072)     (24.072, 24.132)     (24.132, 24.412)     (24.412, 24.692)     (24.692, 25.172)     (25.172, 25.332)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (25.332, 25.662)     (25.662, 25.782)     (25.782, 25.842)     (25.842, 26.382)     (26.382, 26.592)     (26.592, 26.772)     (26.772, 26.802)     (26.802, 26.972)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġusually             Ġwhen                Ġthe                 Ġcrime               Ġrate                Ġis                  Ġa                   Ġlittle             
Timings          : (25.332, 25.662)     (25.662, 25.782)     (25.782, 25.842)     (25.842, 26.382)     (26.382, 26.592)     (26.592, 26.772)     (26.772, 26.802)     (26.802, 26.972)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033       74496744620033      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                Ġyeah                Ġi                   Ġthat                's                   Ġthat                's                  
Timings          : (26.972, 27.122)     (27.122, 27.66)      (28.026, 28.306)     (28.306, 28.535)     (28.535, 28.67)      (28.67, 28.806)      (28.806, 28.901)     (28.901, 28.996)    
Token Types      : 0                    0                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    0                    74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       74492986523650      
turn_end_types   : 0                    0                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġbit                 Ġhigher              <eot>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (26.972, 27.122)     (27.122, 27.66)      (-1.0, -1.0)         (28.306, 28.535)     (28.535, 28.67)      (28.67, 28.806)      (28.806, 28.901)     (28.901, 28.996)    
Token Types      : 4                    4                    4                    0                    0                    0                    0                    0                   
turn_ids         : 74496744620033       74496744620033       74496744620033       0                    0                    0                    0                    0                   
turn_end_types   : 1                    1                    1                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    1                    1                    0                    0                    0                    0                    0                   


A                : Ġprobably            Ġnot                 Ġtrue                Ġonly                Ġfor                 Ġat                  l                    anta                
Timings          : (28.996, 29.436)     (29.436, 29.776)     (29.776, 30.076)     (30.076, 30.526)     (30.526, 30.756)     (30.756, 30.926)     (30.926, 31.096)     (31.096, 31.266)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       74492986523650      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (28.996, 29.436)     (29.436, 29.776)     (29.776, 30.076)     (30.076, 30.526)     (30.526, 30.756)     (30.756, 30.926)     (30.926, 31.096)     (31.096, 31.266)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġbut                 Ġfor                 Ġjust                Ġabout               Ġanywhere            <eot>                <emp>                <emp>               
Timings          : (31.266, 31.466)     (31.466, 31.666)     (31.666, 31.866)     (31.866, 32.096)     (32.096, 32.759)     (-1.0, -1.0)         (34.23, 34.72)       (34.919, 35.09)     
Token Types      : 1                    1                    1                    1                    1                    1                    0                    0                   
turn_ids         : 74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       74492986523650       0                    0                   
turn_end_types   : 1                    1                    1                    1                    1                    1                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                Ġyeah                Ġuh                  Ġwhat               
