A                : what                 Ġkind                Ġof                  Ġcrime               Ġdo                  Ġyou                 Ġthink               Ġum                 
Timings          : (0.89, 1.061)        (1.061, 1.311)       (1.311, 1.421)       (1.421, 1.851)       (1.851, 1.951)       (1.951, 2.081)       (2.081, 2.546)       (2.975, 3.422)      
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (0.89, 1.061)        (1.061, 1.311)       (1.311, 1.421)       (1.421, 1.851)       (1.851, 1.951)       (1.951, 2.081)       (2.081, 2.546)       (2.975, 3.422)      
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġis                  Ġthe                 Ġmost                Ġprevalent           Ġin                  Ġour                 Ġsociety             <eot>               
Timings          : (3.532, 3.691)       (3.691, 3.771)       (3.771, 4.021)       (4.021, 4.491)       (4.491, 4.571)       (4.571, 4.691)       (4.691, 5.249)       (-1.0, -1.0)        
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384       74561706000384      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                oh                  
Timings          : (3.532, 3.691)       (3.691, 3.771)       (3.771, 4.021)       (4.021, 4.491)       (4.491, 4.571)       (4.571, 4.691)       (4.691, 5.249)       (6.567, 6.837)      
Token Types      : 0                    0                    0                    0                    0                    0                    0                    1                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    74562242871297      
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (6.837, 7.245)       (7.245, 8.097)       (8.097, 8.496)       (9.084, 9.647)       (11.308, 11.527)     (11.527, 11.797)     (11.797, 11.957)     (11.957, 12.137)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġboy                 Ġprobably            Ġuh                  Ġrobberies           Ġpeople              Ġstealing            Ġfrom                Ġeach               
Timings          : (6.837, 7.245)       (7.245, 8.097)       (8.097, 8.496)       (9.084, 9.647)       (11.308, 11.527)     (11.527, 11.797)     (11.797, 11.957)     (11.957, 12.137)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871297       74562242871297       74562242871297       74562242871297       74562242871297       74562242871297       74562242871297       74562242871297      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                Ġsuch                Ġas                  Ġnew                 Ġy                   ork                  Ġcity                <eot>               
Timings          : (12.137, 12.377)     (13.299, 13.609)     (13.609, 13.829)     (13.829, 13.949)     (13.949, 14.079)     (14.079, 14.209)     (14.209, 14.658)     (-1.0, -1.0)        
Token Types      : 0                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    74561706000386       74561706000386       74561706000386       74561706000386       74561706000386       74561706000386       74561706000386      
turn_end_types   : 0                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġother               <eot>                <emp>                <emp>                <emp>                <emp>                <emp>                Ġis                 
Timings          : (12.137, 12.377)     (-1.0, -1.0)         (13.609, 13.829)     (13.829, 13.949)     (13.949, 14.079)     (14.079, 14.209)     (14.209, 14.658)     (16.362, 16.418)    
Token Types      : 1                    1                    0                    0                    0                    0                    0                    1                   
turn_ids         : 74562242871297       74562242871297       0                    0                    0                    0                    0                    74562242871299      
turn_end_types   : 1                    1                    0                    0                    0                    0                    0                    1                   
speaker_ids      : 1                    1                    0                    0                    0                    0                    0                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (16.418, 16.512)     (16.512, 16.602)     (16.602, 16.812)     (16.812, 16.952)     (16.952, 17.142)     (17.142, 17.182)     (17.182, 17.432)     (17.632, 17.913)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthat                Ġwhat                Ġhappens             Ġup                  Ġthere               Ġa                   Ġlot                 Ġuh                 
Timings          : (16.418, 16.512)     (16.512, 16.602)     (16.602, 16.812)     (16.812, 16.952)     (16.952, 17.142)     (17.142, 17.182)     (17.182, 17.432)     (17.632, 17.913)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (18.06, 18.199)      (18.199, 18.338)     (18.338, 18.502)     (18.502, 18.592)     (18.592, 18.682)     (18.682, 18.932)     (18.932, 19.042)     (19.042, 19.082)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthat                's                   Ġthat                Ġthat                's                   Ġmostly              Ġwhat                Ġi                  
Timings          : (18.06, 18.199)      (18.199, 18.338)     (18.338, 18.502)     (18.502, 18.592)     (18.592, 18.682)     (18.682, 18.932)     (18.932, 19.042)     (19.042, 19.082)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (19.082, 19.212)     (19.212, 19.352)     (19.352, 19.412)     (19.412, 19.652)     (19.652, 19.852)     (19.852, 20.082)     (20.082, 20.452)     (20.452, 20.682)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġhear                Ġabout               Ġis                  Ġpeople              Ġgetting             Ġripped              Ġoff                 Ġand                
Timings          : (19.082, 19.212)     (19.212, 19.352)     (19.352, 19.412)     (19.412, 19.652)     (19.652, 19.852)     (19.852, 20.082)     (20.082, 20.452)     (20.452, 20.682)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (21.202, 21.412)     (21.412, 21.652)     (21.652, 22.133)     (22.688, 22.788)     (22.788, 22.888)     (22.888, 22.918)     (22.918, 23.073)     (23.073, 23.492)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthings              Ġgetting             Ġstolen              Ġthat                's                   Ġthe                 Ġmost                Ġprevalent          
Timings          : (21.202, 21.412)     (21.412, 21.652)     (21.652, 22.133)     (22.688, 22.788)     (22.788, 22.888)     (22.888, 22.918)     (22.918, 23.073)     (23.073, 23.492)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (23.492, 24.037)     (24.697, 25.189)     (26.575, 26.642)     (26.642, 26.882)     (26.882, 27.082)     (27.082, 27.56)      (28.718, 28.763)     (28.763, 28.893)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġcrime               Ġuh                  Ġthe                 Ġones                Ġthat                Ġreally              Ġyou                 Ġknow               
Timings          : (23.492, 24.037)     (24.697, 25.189)     (26.575, 26.642)     (26.642, 26.882)     (26.882, 27.082)     (27.082, 27.56)      (28.718, 28.763)     (28.763, 28.893)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (28.893, 29.063)     (29.063, 29.183)     (29.183, 29.373)     (29.373, 29.553)     (29.553, 29.668)     (29.723, 29.933)     (29.933, 30.003)     (30.003, 30.203)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġones                Ġthat                Ġreally              Ġadd                 Ġup                  Ġafter               Ġa                   Ġwhile              
Timings          : (28.893, 29.063)     (29.063, 29.183)     (29.183, 29.373)     (29.373, 29.553)     (29.553, 29.668)     (29.723, 29.933)     (29.933, 30.003)     (30.003, 30.203)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (30.203, 30.283)     (30.283, 30.583)     (30.583, 30.643)     (30.643, 30.746)     (30.793, 30.943)     (30.943, 31.043)     (31.043, 31.193)     (31.193, 31.273)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġi                   Ġguess               Ġyou                 Ġknow                Ġfrom                Ġinsurance           Ġfar                 Ġas                 
Timings          : (30.203, 30.283)     (30.283, 30.583)     (30.583, 30.643)     (30.643, 30.746)     (30.793, 30.943)     (30.943, 31.043)     (31.043, 31.193)     (31.193, 31.273)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (31.273, 31.703)     (31.703, 31.883)     (31.883, 31.993)     (31.993, 32.213)     (32.213, 32.383)     (32.383, 32.643)     (32.643, 33.023)     (33.023, 34.213)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġinsurance           Ġmoney               Ġand                 Ġstuff               Ġlike                Ġthat                Ġinsurance           Ġcosts              
Timings          : (31.273, 31.703)     (31.703, 31.883)     (31.883, 31.993)     (31.993, 32.213)     (32.213, 32.383)     (32.383, 32.643)     (32.643, 33.023)     (33.023, 34.213)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299       74562242871299      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (34.213, 34.273)     (34.273, 34.333)     (34.333, 34.613)     (34.613, 34.753)     (34.753, 34.853)     (34.853, 35.063)     (35.063, 35.313)     (35.313, 35.383)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

