A                : what                Ġwhat               Ġwhat               Ġsort               Ġof                 Ġcompany            Ġdo                 Ġyou                Ġwork               Ġfor                Ġdo                 Ġyou                Ġwork               Ġfor                Ġa                 
Timings          : (1.057, 1.167)      (1.227, 1.357)      (1.477, 1.607)      (1.607, 1.797)      (1.797, 2.017)      (2.057, 2.457)      (2.457, 2.547)      (2.547, 2.607)      (2.607, 2.817)      (2.817, 2.907)      (2.907, 2.967)      (2.967, 3.027)      (3.027, 3.157)      (3.157, 3.257)      (3.257, 3.287)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (1.057, 1.167)      (1.227, 1.357)      (1.477, 1.607)      (1.607, 1.797)      (1.797, 2.017)      (2.057, 2.457)      (2.457, 2.547)      (2.547, 2.607)      (2.607, 2.817)      (2.817, 2.907)      (2.907, 2.967)      (2.967, 3.027)      (3.027, 3.157)      (3.157, 3.257)      (3.257, 3.287)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbig                Ġplace              Ġor                 Ġa                  Ġlittle             Ġplace              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.287, 3.447)      (3.447, 3.747)      (3.787, 3.867)      (3.867, 3.897)      (3.897, 4.077)      (4.077, 4.397)      (-1.0, -1.0)        (4.798, 4.847)      (4.847, 5.077)      (5.077, 5.188)      (5.188, 5.298)      (5.298, 5.407)      (5.407, 5.517)      (5.517, 5.907)      (5.907, 6.117)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      79509508325376      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

