A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhave               Ġfive               <eot>               <emp>               <emp>               right              
Timings          : (0.013, 0.038)      (0.038, 0.135)      (0.135, 0.52)       (0.52, 0.59)        (0.59, 0.68)        (0.68, 0.86)        (0.86, 0.99)        (1.196, 1.263)      (1.263, 1.372)      (1.372, 1.519)      (1.59, 2.064)       (-1.0, -1.0)        (2.348, 2.518)      (2.518, 2.924)      (3.19, 3.546)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   79595407671297      79595407671297      79595407671297      79595407671297      79595407671297      0                   0                   79597555154945     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   1                  

B                : how                 Ġmany               Ġchildren           Ġdo                 Ġyou                Ġhave               Ġnow                <eot>               <emp>               <emp>               <emp>               Ġyou                Ġhave               Ġfive               Ġwell              
Timings          : (0.013, 0.038)      (0.038, 0.135)      (0.135, 0.52)       (0.52, 0.59)        (0.59, 0.68)        (0.68, 0.86)        (0.86, 0.99)        (-1.0, -1.0)        (1.263, 1.372)      (1.372, 1.519)      (1.59, 2.064)       (2.213, 2.348)      (2.348, 2.518)      (2.518, 2.924)      (3.398, 3.518)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 79595944542208      79595944542208      79595944542208      79595944542208      79595944542208      79595944542208      79595944542208      79595944542208      0                   0                   0                   79595944542210      79595944542210      79595944542210      79595944542210     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               <emp>               Ġfive               Ġare                Ġi                 
Timings          : (-1.0, -1.0)        (3.718, 3.968)      (3.968, 4.138)      (4.138, 4.188)      (4.188, 4.388)      (4.388, 4.638)      (4.638, 5.028)      (5.028, 5.348)      (5.348, 5.498)      (5.498, 5.588)      (5.59, 6.269)       (5.678, 5.77)       (6.719, 7.055)      (7.125, 7.483)      (7.607, 7.706)     
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 79597555154945      0                   0                   0                   0                   0                   0                   0                   0                   0                   79595407671299      79595407671299      79595407671299      79595407671299      79595407671299     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġyou                Ġdo                 Ġhave               Ġa                  Ġhard               Ġtime               Ġfinding            Ġtime               Ġthen               Ġdon                't                  Ġyou                <eot>               <emp>               <emp>              
Timings          : (3.518, 3.718)      (3.718, 3.968)      (3.968, 4.138)      (4.138, 4.188)      (4.188, 4.388)      (4.388, 4.638)      (4.638, 5.028)      (5.028, 5.348)      (5.348, 5.498)      (5.498, 5.588)      (5.588, 5.678)      (5.678, 5.77)       (-1.0, -1.0)        (7.125, 7.483)      (7.607, 7.706)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      79595944542210      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġmean               Ġfour               Ġof                 Ġthem               Ġare                Ġgrown              Ġthey               're                 Ġin                 Ġcollege            Ġor                 Ġjust               Ġout                Ġof                 Ġcollege           
Timings          : (7.706, 7.845)      (7.925, 8.135)      (8.135, 8.255)      (8.255, 8.592)      (8.645, 8.825)      (8.825, 9.125)      (9.125, 9.205)      (9.205, 9.285)      (9.285, 9.355)      (9.355, 10.169)     (10.435, 10.575)    (10.575, 10.865)    (10.865, 11.035)    (11.035, 11.107)    (11.19, 11.575)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (7.706, 7.845)      (7.925, 8.135)      (8.135, 8.255)      (8.255, 8.592)      (8.645, 8.825)      (8.825, 9.125)      (9.125, 9.205)      (9.205, 9.285)      (9.285, 9.355)      (9.355, 10.169)     (10.435, 10.575)    (10.575, 10.865)    (10.865, 11.035)    (11.035, 11.107)    (11.19, 11.575)    
