A                : um                  Ġwell               Ġyou                Ġknow               Ġi                  Ġi                  Ġthink              Ġit                 Ġit                 Ġreally             Ġdepends            Ġyou                Ġknow               Ġi                  Ġthink             
Timings          : (0.223, 0.689)      (1.25, 1.381)       (1.381, 1.471)      (1.471, 1.631)      (1.631, 1.812)      (1.812, 1.971)      (1.971, 2.261)      (2.261, 2.301)      (2.301, 2.721)      (2.721, 2.941)      (2.941, 3.69)       (4.206, 4.271)      (4.271, 4.351)      (4.351, 4.459)      (4.459, 4.719)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.223, 0.689)      (1.25, 1.381)       (1.381, 1.471)      (1.471, 1.631)      (1.631, 1.812)      (1.812, 1.971)      (1.971, 2.261)      (2.261, 2.301)      (2.301, 2.721)      (2.721, 2.941)      (2.941, 3.69)       (4.206, 4.271)      (4.271, 4.351)      (4.351, 4.459)      (4.459, 4.719)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġif                 Ġif                 Ġyou                Ġknow               Ġtaking             Ġthe                Ġcurrent            Ġbatch              Ġwe                 've                 Ġgot                Ġyou                Ġlike              
Timings          : (4.719, 4.831)      (4.831, 4.991)      (4.991, 5.231)      (5.231, 5.377)      (5.377, 5.621)      (5.621, 5.721)      (5.721, 5.981)      (5.981, 6.041)      (6.041, 6.371)      (6.371, 6.721)      (6.721, 6.786)      (6.786, 6.851)      (6.851, 7.011)      (7.011, 7.091)      (7.091, 7.31)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.719, 4.831)      (4.831, 4.991)      (4.991, 5.231)      (5.231, 5.377)      (5.377, 5.621)      (5.621, 5.721)      (5.721, 5.981)      (5.981, 6.041)      (6.041, 6.371)      (6.371, 6.721)      (6.721, 6.786)      (6.786, 6.851)      (6.851, 7.011)      (7.011, 7.091)      (7.091, 7.31)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġthink              Ġp                  aul                 Ġt                  song                as                  Ġprobably           Ġisn                't                  Ġin                 Ġit                 Ġfor                Ġlike               Ġhis               
Timings          : (7.31, 7.419)       (7.419, 7.561)      (7.561, 7.651)      (7.651, 7.741)      (7.741, 7.921)      (7.921, 8.101)      (8.101, 8.281)      (8.281, 8.837)      (9.232, 9.396)      (9.396, 9.561)      (9.561, 9.651)      (9.651, 9.831)      (9.831, 10.051)     (10.051, 10.291)    (10.291, 10.441)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (7.31, 7.419)       (7.419, 7.561)      (7.561, 7.651)      (7.651, 7.741)      (7.741, 7.921)      (7.921, 8.101)      (8.101, 8.281)      (8.281, 8.837)      (9.232, 9.396)      (9.396, 9.561)      (9.561, 9.651)      (9.651, 9.831)      (9.831, 10.051)     (10.051, 10.291)    (10.291, 10.441)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġown                Ġgain               Ġi                  Ġi                  Ġdon                't                  Ġsee                Ġhim                Ġas                 Ġthat               Ġkind               Ġof                 Ġa                  Ġguy                Ġi                 
Timings          : (10.441, 10.671)    (10.671, 11.096)    (11.898, 12.058)    (12.058, 12.208)    (12.208, 12.303)    (12.303, 12.398)    (12.398, 12.458)    (12.458, 12.578)    (12.578, 12.688)    (12.688, 12.848)    (12.848, 13.028)    (13.028, 13.088)    (13.088, 13.138)    (13.138, 13.468)    (13.468, 13.608)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.441, 10.671)    (10.671, 11.096)    (11.898, 12.058)    (12.058, 12.208)    (12.208, 12.303)    (12.303, 12.398)    (12.398, 12.458)    (12.458, 12.578)    (12.578, 12.688)    (12.688, 12.848)    (12.848, 13.028)    (13.028, 13.088)    (13.088, 13.138)    (13.138, 13.468)    (13.468, 13.608)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcan                Ġbelieve            Ġlike               Ġthat               Ġbill               Ġcl                 inton               Ġmight              Ġbe                 Ġum                 Ġi                  Ġcertainly          Ġthink              Ġa                  Ġlot               
Timings          : (13.608, 13.798)    (13.798, 14.068)    (14.068, 14.464)    (15.149, 15.428)    (15.428, 15.598)    (15.598, 15.843)    (15.843, 16.088)    (16.088, 16.368)    (16.368, 16.66)     (17.783, 18.053)    (18.053, 18.133)    (18.133, 18.523)    (18.523, 18.793)    (18.793, 18.853)    (18.853, 19.013)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.608, 13.798)    (13.798, 14.068)    (14.068, 14.464)    (15.149, 15.428)    (15.428, 15.598)    (15.598, 15.843)    (15.843, 16.088)    (16.088, 16.368)    (16.368, 16.66)     (17.783, 18.053)    (18.053, 18.133)    (18.133, 18.523)    (18.523, 18.793)    (18.793, 18.853)    (18.853, 19.013)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġpeople             Ġin                 Ġcongress           Ġare                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (19.013, 19.093)    (19.093, 19.303)    (19.303, 19.373)    (19.373, 19.903)    (19.903, 20.201)    (-1.0, -1.0)        (24.038, 24.282)    (24.282, 24.525)    (24.661, 24.819)    (24.819, 24.999)    (24.999, 25.088)    (25.088, 25.178)    (25.178, 25.348)    (25.348, 25.428)    (25.428, 25.719)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      79715666755584      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġit                 's                  Ġfor                Ġme                 Ġit                 's                  Ġhard               Ġto                 Ġtalk              
Timings          : (19.013, 19.093)    (19.093, 19.303)    (19.303, 19.373)    (19.373, 19.903)    (19.903, 20.201)    (21.594, 21.994)    (24.038, 24.282)    (24.282, 24.525)    (24.661, 24.819)    (24.819, 24.999)    (24.999, 25.088)    (25.088, 25.178)    (25.178, 25.348)    (25.348, 25.428)    (25.428, 25.719)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.719, 26.229)    (26.229, 26.378)    (26.378, 27.41)     (27.87, 28.188)     (28.188, 28.258)    (28.258, 28.419)    (28.419, 28.579)    (28.579, 28.729)    (28.729, 28.788)    (28.788, 29.188)    (29.188, 29.428)    (29.428, 29.483)    (29.483, 29.538)    (29.538, 29.729)    (29.729, 29.989)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġabout              Ġuh                 Ġspecifics          Ġbecause            Ġi                  Ġdon                't                  Ġknow               Ġthe                Ġpeople             Ġall                Ġi                  've                 Ġread               Ġis                
Timings          : (25.719, 26.229)    (26.229, 26.378)    (26.378, 27.41)     (27.87, 28.188)     (28.188, 28.258)    (28.258, 28.419)    (28.419, 28.579)    (28.579, 28.729)    (28.729, 28.788)    (28.788, 29.188)    (29.188, 29.428)    (29.428, 29.483)    (29.483, 29.538)    (29.538, 29.729)    (29.729, 29.989)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.989, 30.231)    (30.578, 30.625)    (30.625, 30.673)    (-1.0, -1.0)        (31.319, 32.093)    (32.301, 32.625)    (32.625, 32.95)     (34.226, 34.336)    (34.336, 34.776)    (34.776, 35.206)    (35.206, 35.376)    (35.376, 35.536)    (35.536, 35.656)    (35.656, 35.721)    (35.721, 35.786)   
Token Types      : 0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   79717814239233      79717814239233      79717814239233      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 <emp>               <emp>               Ġthe                Ġheadlines          Ġthe                Ġuh                 Ġthe                Ġgeneric            Ġquestion           Ġwhich              Ġis                 Ġwhat               Ġthey               're                
Timings          : (29.989, 30.231)    (30.578, 30.625)    (30.625, 30.673)    (31.24, 31.319)     (31.319, 32.093)    (32.301, 32.625)    (32.625, 32.95)     (34.226, 34.336)    (34.336, 34.776)    (34.776, 35.206)    (35.206, 35.376)    (35.376, 35.536)    (35.536, 35.656)    (35.656, 35.721)    (35.721, 35.786)   
