A                : um                  Ġi                  've                 Ġhad                Ġuh                 Ġthree              Ġboys               Ġthrough            Ġi                  Ġguess              Ġuh                 Ġsome               Ġchild              Ġcare               Ġeach              
Timings          : (0.007, 0.201)      (1.005, 1.068)      (1.068, 1.131)      (1.131, 1.318)      (2.089, 2.556)      (2.691, 2.884)      (2.884, 3.214)      (3.214, 3.576)      (4.412, 4.546)      (4.546, 4.887)      (4.887, 5.237)      (5.237, 5.517)      (5.517, 5.797)      (5.797, 6.067)      (6.067, 6.277)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.007, 0.201)      (1.005, 1.068)      (1.068, 1.131)      (1.131, 1.318)      (2.089, 2.556)      (2.691, 2.884)      (2.884, 3.214)      (3.214, 3.576)      (4.412, 4.546)      (4.546, 4.887)      (4.887, 5.237)      (5.237, 5.517)      (5.517, 5.797)      (5.797, 6.067)      (6.067, 6.277)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġone                Ġof                 Ġthem               Ġand                Ġnow                Ġthey               're                 Ġin                 Ġschool             Ġso                 Ġit                 's                  Ġall                Ġover               Ġbut               
Timings          : (6.277, 6.417)      (6.417, 6.477)      (6.477, 6.597)      (6.597, 6.727)      (6.727, 6.917)      (6.917, 6.977)      (6.977, 7.037)      (7.037, 7.137)      (7.137, 7.437)      (7.437, 7.577)      (7.577, 7.637)      (7.637, 7.697)      (7.697, 7.897)      (7.897, 8.155)      (8.155, 8.414)     
