A                : ok                  ay                  Ġwell               Ġi                  'll                 Ġjust               Ġbriefly            Ġum                 Ġi                  Ġworked             Ġin                 Ġa                  Ġnursing            Ġhome               Ġso                
Timings          : (0.011, 0.181)      (0.181, 0.35)       (1.045, 1.325)      (1.325, 1.437)      (1.437, 1.549)      (1.76, 1.985)       (1.985, 2.584)      (2.87, 3.275)       (3.515, 3.655)      (3.655, 3.865)      (3.865, 3.975)      (3.975, 4.005)      (4.005, 4.355)      (4.355, 4.555)      (4.625, 4.725)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.011, 0.181)      (0.181, 0.35)       (1.045, 1.325)      (1.325, 1.437)      (1.437, 1.549)      (1.76, 1.985)       (1.985, 2.584)      (2.87, 3.275)       (3.515, 3.655)      (3.655, 3.865)      (3.865, 3.975)      (3.975, 4.005)      (4.005, 4.355)      (4.355, 4.555)      (4.625, 4.725)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġkind               Ġof                 Ġknow               Ġfrom               Ġway                Ġback               Ġuh                 Ġhow                Ġthings             Ġused               Ġto                 Ġbe                 Ġrun                Ġand               
Timings          : (4.725, 4.815)      (4.815, 5.075)      (5.075, 5.165)      (5.165, 5.462)      (5.862, 6.355)      (6.355, 6.705)      (6.705, 7.195)      (7.195, 7.495)      (7.745, 7.885)      (7.885, 8.195)      (8.195, 8.585)      (8.585, 8.685)      (8.685, 8.845)      (8.845, 9.105)      (9.105, 9.275)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.725, 4.815)      (4.815, 5.075)      (5.075, 5.165)      (5.165, 5.462)      (5.862, 6.355)      (6.355, 6.705)      (6.705, 7.195)      (7.195, 7.495)      (7.745, 7.885)      (7.885, 8.195)      (8.195, 8.585)      (8.585, 8.685)      (8.685, 8.845)      (8.845, 9.105)      (9.105, 9.275)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġthink              Ġthere              's                  Ġbeen               Ġdefinite           Ġchanges            Ġof                 Ġnursing            Ġhomes              Ġbut                Ġi                  Ġthink              Ġuh                 Ġif                
Timings          : (9.275, 9.335)      (9.335, 9.585)      (9.585, 9.66)       (9.66, 9.735)       (9.805, 10.138)     (10.345, 10.745)    (10.745, 11.335)    (11.335, 11.455)    (11.715, 12.035)    (12.035, 12.442)    (12.442, 12.616)    (13.322, 13.47)     (13.47, 13.772)     (13.772, 14.036)    (14.564, 14.652)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
