A                : what                Ġdo                 Ġyou                Ġthink              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.027, 0.102)      (0.102, 0.19)       (0.19, 0.275)       (0.359, 0.604)      (-1.0, -1.0)        (2.658, 3.055)      (3.055, 3.21)       (3.21, 3.33)        (3.33, 3.45)        (3.45, 3.54)        (3.54, 3.91)        (3.91, 4.52)        (4.52, 4.81)        (4.81, 4.93)        (4.93, 5.16)       
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80042084270080      80042084270080      80042084270080      80042084270080      80042084270080      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               well                Ġum                 Ġi                  Ġcan                't                  Ġbe                 Ġterribly           Ġauthoritative      Ġon                 Ġwhat               Ġlife              
Timings          : (0.027, 0.102)      (0.102, 0.19)       (0.19, 0.275)       (0.359, 0.604)      (1.82, 2.179)       (2.658, 3.055)      (3.055, 3.21)       (3.21, 3.33)        (3.33, 3.45)        (3.45, 3.54)        (3.54, 3.91)        (3.91, 4.52)        (4.52, 4.81)        (4.81, 4.93)        (4.93, 5.16)       
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġoh                
Timings          : (5.16, 5.28)        (5.28, 5.44)        (5.44, 5.67)        (5.67, 5.91)        (5.91, 6.271)       (6.749, 7.25)       (8.547, 8.73)       (8.73, 8.792)       (8.792, 8.855)      (8.855, 9.025)      (9.025, 9.195)      (9.195, 9.415)      (9.415, 9.679)      (10.034, 10.198)    (10.198, 10.421)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80042084270082      80042084270082     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġwas                Ġlike               Ġthirty             Ġyears              Ġago                Ġum                 Ġbecause            Ġi                  'm                  Ġnot                Ġthat               Ġold                Ġyet                <eot>               <emp>              
Timings          : (5.16, 5.28)        (5.28, 5.44)        (5.44, 5.67)        (5.67, 5.91)        (5.91, 6.271)       (6.749, 7.25)       (8.547, 8.73)       (8.73, 8.792)       (8.792, 8.855)      (8.855, 9.025)      (9.025, 9.195)      (9.195, 9.415)      (9.415, 9.679)      (-1.0, -1.0)        (10.198, 10.421)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      80042621140993      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : <emp>               Ġi                  Ġcan                Ġbe                 Ġbut                Ġgo                 Ġahead              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.336, 10.718)    (10.992, 11.142)    (11.142, 11.473)    (11.473, 11.633)    (11.633, 11.809)    (11.809, 11.948)    (11.948, 12.333)    (-1.0, -1.0)        (15.144, 15.266)    (15.266, 15.64)     (15.64, 16.194)     (16.349, 16.816)    (17.503, 17.566)    (17.566, 17.684)    (17.684, 18.084)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80042084270082      80042084270082      80042084270082      80042084270082      80042084270082      80042084270082      80042084270082      80042084270082      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : um                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġi                  Ġknow               Ġthat               Ġuh                 Ġi                  Ġmean               Ġobviously         
Timings          : (10.336, 10.718)    (-1.0, -1.0)        (11.142, 11.473)    (11.473, 11.633)    (11.633, 11.809)    (11.809, 11.948)    (11.948, 12.333)    (14.026, 14.556)    (15.144, 15.266)    (15.266, 15.64)     (15.64, 16.194)     (16.349, 16.816)    (17.503, 17.566)    (17.566, 17.684)    (17.684, 18.084)   
Token Types      : 5                   5                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80046916108289      80046916108289      0                   0                   0                   0                   0                   80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (18.084, 18.184)    (18.184, 18.344)    (18.344, 18.459)    (18.459, 18.689)    (19.124, 19.914)    (19.914, 20.124)    (20.124, 20.794)    (20.794, 21.294)    (21.294, 21.544)    (21.544, 21.714)    (21.714, 22.084)    (22.084, 22.544)    (22.544, 22.594)    (22.594, 22.784)    (22.784, 22.914)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġlook               Ġat                 Ġat                 Ġtechnological      Ġthe                Ġtechnological      Ġaspect             Ġof                 Ġof                 Ġsocial             Ġchange             Ġi                  Ġmean               Ġyou               
Timings          : (18.084, 18.184)    (18.184, 18.344)    (18.344, 18.459)    (18.459, 18.689)    (19.124, 19.914)    (19.914, 20.124)    (20.124, 20.794)    (20.794, 21.294)    (21.294, 21.544)    (21.544, 21.714)    (21.714, 22.084)    (22.084, 22.544)    (22.544, 22.594)    (22.594, 22.784)    (22.784, 22.914)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (22.914, 23.034)    (23.034, 23.154)    (23.154, 23.516)    (24.13, 24.528)     (25.062, 25.134)    (25.134, 25.229)    (25.229, 25.324)    (25.324, 25.524)    (25.524, 25.824)    (25.824, 26.454)    (26.454, 26.564)    (26.564, 26.679)    (26.679, 26.794)    (26.794, 27.004)    (27.004, 27.204)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdidn               't                  Ġhave               Ġuh                 Ġyou                Ġdidn               't                  Ġhave               Ġvideo              Ġgames              Ġyou                Ġdidn               't                  Ġhave               Ġhome              
Timings          : (22.914, 23.034)    (23.034, 23.154)    (23.154, 23.516)    (24.13, 24.528)     (25.062, 25.134)    (25.134, 25.229)    (25.229, 25.324)    (25.324, 25.524)    (25.524, 25.824)    (25.824, 26.454)    (26.454, 26.564)    (26.564, 26.679)    (26.679, 26.794)    (26.794, 27.004)    (27.004, 27.204)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995      80042621140995     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               right               <ebc>               <emp>               <emp>               <emp>               <emp>              
