A                : ok                  ay                  Ġhow                Ġdo                 Ġyou                Ġget                Ġyour               Ġnews               Ġmostly             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.278, 0.648)      (0.648, 1.018)      (1.425, 1.608)      (1.608, 1.678)      (1.678, 1.788)      (1.788, 1.948)      (1.948, 2.268)      (2.268, 2.418)      (2.418, 2.838)      (-1.0, -1.0)        (3.626, 3.965)      (3.965, 4.108)      (4.108, 4.318)      (4.318, 4.648)      (4.648, 4.708)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      80059264139264      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               gener               ally                Ġi                  Ġget                Ġmost               Ġof                
Timings          : (0.278, 0.648)      (0.648, 1.018)      (1.425, 1.608)      (1.608, 1.678)      (1.678, 1.788)      (1.788, 1.948)      (1.948, 2.268)      (2.268, 2.418)      (2.418, 2.838)      (3.288, 3.626)      (3.626, 3.965)      (3.965, 4.108)      (4.108, 4.318)      (4.318, 4.648)      (4.648, 4.708)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
