A                : why                 Ġdon                't                  Ġyou                Ġgo                 Ġahead              Ġand                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.054, 0.114)      (0.114, 0.174)      (0.174, 0.234)      (0.234, 0.294)      (0.294, 0.374)      (0.374, 0.514)      (0.514, 0.604)      (0.604, 0.891)      (-1.0, -1.0)        (1.434, 1.699)      (2.358, 2.602)      (2.602, 2.692)      (2.692, 2.942)      (2.942, 3.002)      (3.002, 3.352)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80385681653760      80385681653760      80385681653760      80385681653760      80385681653760      80385681653760      80385681653760      80385681653760      80385681653760      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               ok                  ay                  Ġwell               Ġi                  Ġthink              Ġthe                Ġcourt             
Timings          : (0.054, 0.114)      (0.114, 0.174)      (0.174, 0.234)      (0.234, 0.294)      (0.294, 0.374)      (0.374, 0.514)      (0.514, 0.604)      (0.604, 0.891)      (1.168, 1.434)      (1.434, 1.699)      (2.358, 2.602)      (2.602, 2.692)      (2.692, 2.942)      (2.942, 3.002)      (3.002, 3.352)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.352, 3.99)       (4.212, 4.442)      (4.442, 4.772)      (4.772, 4.922)      (4.922, 5.757)      (5.986, 6.572)      (7.511, 7.859)      (7.859, 8.029)      (8.029, 8.449)      (8.449, 8.659)      (8.659, 9.24)       (9.436, 9.539)      (9.539, 9.689)      (9.689, 9.879)      (9.879, 9.949)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsystems            Ġcould              Ġstand              Ġsome               Ġimprovement        Ġuh                 Ġtrial              Ġby                 Ġjury               Ġis                 Ġgood               Ġbut                Ġa                  Ġlot                Ġof                
Timings          : (3.352, 3.99)       (4.212, 4.442)      (4.442, 4.772)      (4.772, 4.922)      (4.922, 5.757)      (5.986, 6.572)      (7.511, 7.859)      (7.859, 8.029)      (8.029, 8.449)      (8.449, 8.659)      (8.659, 9.24)       (9.436, 9.539)      (9.539, 9.689)      (9.689, 9.879)      (9.879, 9.949)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (9.949, 10.579)     (10.579, 10.89)     (11.639, 11.723)    (11.994, 12.102)    (12.102, 12.364)    (12.364, 12.526)    (12.526, 12.602)    (12.602, 13.297)    (14.177, 14.737)    (15.087, 15.217)    (15.217, 15.547)    (15.547, 15.877)    (15.877, 16.207)    (16.207, 16.897)    (16.897, 17.261)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtime               Ġit                 Ġin                 Ġin                 Ġa                  Ġlot                Ġof                 Ġcases              Ġuh                 Ġis                 Ġcircumst           ant                 ial                 Ġevidence           Ġthat              
Timings          : (9.949, 10.579)     (10.579, 10.89)     (11.639, 11.723)    (11.994, 12.102)    (12.102, 12.364)    (12.364, 12.526)    (12.526, 12.602)    (12.602, 13.297)    (14.177, 14.737)    (15.087, 15.217)    (15.217, 15.547)    (15.547, 15.877)    (15.877, 16.207)    (16.207, 16.897)    (16.897, 17.261)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.988, 18.327)    (18.327, 18.582)    (18.582, 18.837)    (18.837, 18.907)    (18.907, 19.457)    (20.267, 20.427)    (20.427, 20.617)    (20.617, 20.752)    (20.752, 20.887)    (20.887, 21.227)    (21.227, 21.387)    (21.387, 21.687)    (21.687, 21.797)    (21.797, 22.217)    (22.217, 22.597)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
