A                : well                Ġuh                 Ġmy                 Ġopinion            Ġon                 Ġtaxation           Ġwell               Ġcould              Ġbeing              Ġin                 Ġnew                Ġy                  ork                 Ġstate              Ġwhere             
Timings          : (0.2, 0.781)        (0.781, 0.881)      (0.881, 1.101)      (1.101, 1.511)      (1.511, 1.701)      (1.701, 2.601)      (2.601, 2.936)      (2.936, 3.064)      (3.064, 3.341)      (3.341, 3.461)      (3.461, 3.651)      (3.651, 3.791)      (3.791, 3.931)      (3.931, 4.5)        (5.625, 5.916)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.2, 0.781)        (0.781, 0.881)      (0.881, 1.101)      (1.101, 1.511)      (1.511, 1.701)      (1.701, 2.601)      (2.601, 2.936)      (2.936, 3.064)      (3.064, 3.341)      (3.341, 3.461)      (3.461, 3.651)      (3.651, 3.791)      (3.791, 3.931)      (3.931, 4.5)        (5.625, 5.916)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtaxes              Ġare                Ġhigh               Ġand                Ġservices           Ġare                Ġlow                <eot>               Ġi                  Ġguess              Ġi                  'd                  Ġhave               Ġto                 Ġsay               
Timings          : (5.916, 6.496)      (6.496, 6.656)      (6.656, 7.086)      (7.086, 7.726)      (8.086, 8.636)      (8.636, 8.766)      (8.766, 9.236)      (-1.0, -1.0)        (10.17, 10.291)     (10.291, 10.571)    (10.571, 10.651)    (10.651, 10.731)    (10.731, 10.941)    (10.941, 11.087)    (11.087, 11.451)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
