A                : all                 Ġright              Ġhave               Ġyou                Ġever               Ġbeen               Ġto                 Ġa                  Ġfamily             Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.01, 0.1)         (0.1, 0.298)        (0.298, 0.51)       (0.51, 0.6)         (0.6, 0.74)         (0.74, 0.93)        (0.93, 1.06)        (1.06, 1.12)        (1.12, 1.47)        (1.47, 1.991)       (-1.0, -1.0)        (2.489, 2.739)      (2.739, 2.898)      (2.898, 2.938)      (2.938, 3.388)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      80626199822336      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               i                   Ġgo                 Ġto                 Ġa                  Ġfamily            
Timings          : (0.01, 0.1)         (0.1, 0.298)        (0.298, 0.51)       (0.51, 0.6)         (0.6, 0.74)         (0.74, 0.93)        (0.93, 1.06)        (1.06, 1.12)        (1.12, 1.47)        (1.47, 1.991)       (2.233, 2.489)      (2.489, 2.739)      (2.739, 2.898)      (2.898, 2.938)      (2.938, 3.388)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626736693249      80626736693249      80626736693249      80626736693249      80626736693249     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               oh                  Ġwow                Ġtell               Ġme                 Ġabout              Ġthat               <eint>              <emp>               <emp>              
Timings          : (3.388, 3.82)       (4.001, 4.438)      (4.438, 4.795)      (4.795, 5.541)      (5.541, 5.654)      (5.654, 5.768)      (5.733, 5.942)      (5.942, 6.142)      (6.142, 6.362)      (6.362, 6.472)      (6.472, 6.742)      (6.742, 6.926)      (-1.0, -1.0)        (7.958, 8.068)      (8.068, 8.229)     
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   80630494789633      80630494789633      80630494789633      80630494789633      80630494789633      80630494789633      80630494789633      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġreunion            Ġevery              Ġyear               Ġreligiously        Ġit                 's                  Ġthe                <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġcome              
Timings          : (3.388, 3.82)       (4.001, 4.438)      (4.438, 4.795)      (4.795, 5.541)      (5.541, 5.654)      (5.654, 5.768)      (5.768, 5.962)      (5.942, 6.142)      (6.142, 6.362)      (6.362, 6.472)      (6.472, 6.742)      (6.742, 6.926)      (7.839, 7.958)      (7.958, 8.068)      (8.068, 8.229)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (8.229, 8.445)      (8.445, 8.675)      (8.675, 8.904)      (9.548, 9.684)      (9.684, 9.965)      (9.965, 10.115)     (10.115, 10.274)    (10.274, 10.365)    (10.365, 10.644)    (10.644, 11.005)    (11.005, 11.094)    (11.094, 11.155)    (11.155, 11.696)    (12.021, 12.319)    (12.319, 12.619)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfrom               Ġi                  owa                 Ġmy                 Ġmother             Ġwas                Ġone                Ġof                 Ġnine               Ġchildren           Ġin                 Ġthe                Ġfamily             Ġuh                 Ġseven             
Timings          : (8.229, 8.445)      (8.445, 8.675)      (8.675, 8.904)      (9.548, 9.684)      (9.684, 9.965)      (9.965, 10.115)     (10.115, 10.274)    (10.274, 10.365)    (10.365, 10.644)    (10.644, 11.005)    (11.005, 11.094)    (11.094, 11.155)    (11.155, 11.696)    (12.021, 12.319)    (12.319, 12.619)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (12.619, 12.699)    (12.699, 12.829)    (12.829, 13.179)    (13.179, 13.299)    (13.299, 13.539)    (13.539, 14.006)    (14.006, 14.469)    (14.469, 14.632)    (15.235, 15.279)    (15.279, 15.749)    (15.749, 15.929)    (15.929, 16.279)    (16.279, 16.349)    (16.349, 16.759)    (16.759, 16.909)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġthose              Ġchildren           Ġare                Ġstill              Ġliving             Ġand                Ġuh                 Ġthe                Ġfamily             Ġhas                Ġgrown              Ġof                 Ġcourse             Ġand               
Timings          : (12.619, 12.699)    (12.699, 12.829)    (12.829, 13.179)    (13.179, 13.299)    (13.299, 13.539)    (13.539, 14.006)    (14.006, 14.469)    (14.469, 14.632)    (15.235, 15.279)    (15.279, 15.749)    (15.749, 15.929)    (15.929, 16.279)    (16.279, 16.349)    (16.349, 16.759)    (16.759, 16.909)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwow                <eot>               <emp>               <emp>              
Timings          : (16.909, 17.039)    (17.039, 17.417)    (17.417, 17.619)    (17.619, 17.919)    (17.919, 17.989)    (17.989, 18.409)    (18.409, 18.847)    (18.847, 19.159)    (19.159, 19.529)    (19.529, 19.656)    (19.656, 19.82)     (20.298, 20.621)    (-1.0, -1.0)        (20.913, 21.133)    (21.133, 21.273)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626199822338      80626199822338      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġwe                 Ġget                Ġuh                 Ġabout              Ġa                  Ġhundred            Ġand                Ġfifty              Ġpeople             Ġa                  Ġyear               <eot>               Ġthat               Ġshow               Ġup                
Timings          : (16.909, 17.039)    (17.039, 17.417)    (17.417, 17.619)    (17.619, 17.919)    (17.919, 17.989)    (17.989, 18.409)    (18.409, 18.847)    (18.847, 19.159)    (19.159, 19.529)    (19.529, 19.656)    (19.656, 19.82)     (-1.0, -1.0)        (20.808, 20.913)    (20.913, 21.133)    (21.133, 21.273)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693249      80626736693251      80626736693251      80626736693251     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.273, 21.373)    (21.373, 21.533)    (21.533, 21.873)    (21.873, 22.33)     (23.152, 23.202)    (23.202, 23.362)    (23.362, 23.522)    (23.522, 23.672)    (23.672, 23.702)    (23.702, 23.984)    (23.984, 24.172)    (24.172, 24.222)    (24.222, 24.362)    (24.362, 24.432)    (24.432, 24.652)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġat                 Ġthis               Ġfamily             Ġreunion            Ġi                  Ġhad                Ġcome               Ġfrom               Ġa                  Ġlarge              Ġlike               Ġi                  Ġsay                Ġa                  Ġlarge             
Timings          : (21.273, 21.373)    (21.373, 21.533)    (21.533, 21.873)    (21.873, 22.33)     (23.152, 23.202)    (23.202, 23.362)    (23.362, 23.522)    (23.522, 23.672)    (23.672, 23.702)    (23.702, 23.984)    (23.984, 24.172)    (24.172, 24.222)    (24.222, 24.362)    (24.362, 24.432)    (24.432, 24.652)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (24.652, 24.972)    (24.972, 25.012)    (25.012, 25.162)    (25.162, 25.482)    (25.482, 25.722)    (25.722, 26.072)    (26.072, 26.482)    (26.482, 26.602)    (26.602, 26.682)    (26.682, 26.837)    (26.837, 26.992)    (26.992, 27.412)    (27.412, 27.572)    (27.572, 27.712)    (27.712, 27.892)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfamily             Ġi                  Ġhad                Ġforty              Ġfour               Ġfirst              Ġcousins            Ġon                 Ġmy                 Ġmother             's                  Ġside               Ġand                Ġwe                 Ġall               
Timings          : (24.652, 24.972)    (24.972, 25.012)    (25.012, 25.162)    (25.162, 25.482)    (25.482, 25.722)    (25.722, 26.072)    (26.072, 26.482)    (26.482, 26.602)    (26.602, 26.682)    (26.682, 26.837)    (26.837, 26.992)    (26.992, 27.412)    (27.412, 27.572)    (27.572, 27.712)    (27.712, 27.892)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.892, 28.032)    (28.032, 28.202)    (28.202, 28.342)    (28.342, 28.632)    (28.632, 28.952)    (28.952, 29.103)    (30.032, 30.386)    (30.386, 30.486)    (30.486, 30.696)    (30.696, 30.756)    (30.756, 30.816)    (30.816, 30.866)    (30.866, 31.206)    (31.206, 31.626)    (31.626, 31.756)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġeach               Ġother              Ġpretty             Ġwell               Ġand                Ġand                Ġuh                 Ġso                 Ġit                 's                  Ġa                  Ġwonderful          Ġoccasion           Ġwhen              
Timings          : (27.892, 28.032)    (28.032, 28.202)    (28.202, 28.342)    (28.342, 28.632)    (28.632, 28.952)    (28.952, 29.103)    (30.032, 30.386)    (30.386, 30.486)    (30.486, 30.696)    (30.696, 30.756)    (30.756, 30.816)    (30.816, 30.866)    (30.866, 31.206)    (31.206, 31.626)    (31.626, 31.756)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.756, 31.846)    (31.846, 32.006)    (32.006, 32.436)    (32.436, 32.536)    (32.536, 32.636)    (32.636, 32.736)    (32.736, 32.836)    (32.836, 32.986)    (32.986, 33.455)    (33.617, 33.826)    (33.826, 34.036)    (34.036, 34.231)    (34.875, 34.916)    (34.916, 35.056)    (35.056, 35.496)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġget                Ġtogether           Ġand                Ġwe                 Ġdon                't                  Ġsee                Ġeverybody          Ġeach               Ġyear               Ġbut                Ġyou                Ġknow               Ġalternate         
Timings          : (31.756, 31.846)    (31.846, 32.006)    (32.006, 32.436)    (32.436, 32.536)    (32.536, 32.636)    (32.636, 32.736)    (32.736, 32.836)    (32.836, 32.986)    (32.986, 33.455)    (33.617, 33.826)    (33.826, 34.036)    (34.036, 34.231)    (34.875, 34.916)    (34.916, 35.056)    (35.056, 35.496)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġis                 Ġuh                 Ġso                 Ġwhat               Ġmakes              Ġthe                Ġreunion            Ġa                 
Timings          : (35.496, 35.726)    (35.726, 35.836)    (35.836, 35.966)    (35.966, 36.036)    (36.036, 36.176)    (36.176, 36.436)    (36.436, 36.819)    (38.572, 38.906)    (38.906, 39.281)    (42.01, 42.196)     (42.196, 42.356)    (42.356, 42.616)    (42.616, 42.706)    (42.706, 43.206)    (43.206, 43.276)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyears              Ġwe                 Ġget                Ġto                 Ġsee                Ġmost               Ġeverybody          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.496, 35.726)    (35.726, 35.836)    (35.836, 35.966)    (35.966, 36.036)    (36.036, 36.176)    (36.176, 36.436)    (36.436, 36.819)    (-1.0, -1.0)        (38.906, 39.281)    (42.01, 42.196)     (42.196, 42.356)    (42.356, 42.616)    (42.616, 42.706)    (42.706, 43.206)    (43.206, 43.276)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      80626736693251      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgood               Ġreunion            <emp>               Ġwhat               Ġdo                 Ġthey               Ġdo                 Ġi                  Ġmean               Ġthey               Ġcan                Ġbe                 Ġreal               Ġboring             Ġi                 
Timings          : (43.276, 43.486)    (43.486, 43.98)     (44.782, 45.133)    (45.302, 45.382)    (45.382, 45.442)    (45.442, 45.572)    (45.572, 45.872)    (45.872, 45.932)    (45.932, 46.092)    (46.092, 46.244)    (46.244, 46.382)    (46.382, 46.512)    (46.512, 46.712)    (46.712, 47.042)    (47.042, 47.177)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
