A                : an                  Ġavid               Ġcam                per                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                 
Timings          : (0.022, 0.117)      (0.117, 0.424)      (0.424, 0.697)      (0.697, 0.97)       (-1.0, -1.0)        (2.451, 2.518)      (2.518, 2.584)      (2.584, 2.714)      (2.844, 3.397)      (3.397, 3.51)       (3.51, 3.604)       (3.604, 3.684)      (3.684, 4.044)      (4.044, 4.216)      (4.815, 4.954)     
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 80660559560704      80660559560704      80660559560704      80660559560704      80660559560704      0                   0                   0                   0                   0                   0                   0                   0                   0                   80662707044353     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               um                  Ġi                  'm                  Ġa                  Ġmore               Ġof                 Ġof                 Ġa                  Ġwanna              Ġbe                 <emp>              
Timings          : (0.022, 0.117)      (0.117, 0.424)      (0.424, 0.697)      (0.697, 0.97)       (1.704, 2.112)      (2.451, 2.518)      (2.518, 2.584)      (2.584, 2.714)      (2.844, 3.397)      (3.397, 3.51)       (3.51, 3.604)       (3.604, 3.684)      (3.684, 4.044)      (4.044, 4.216)      (4.815, 4.954)     
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.954, 5.093)      (5.093, 5.232)      (-1.0, -1.0)        (6.568, 6.698)      (6.698, 7.238)      (7.238, 7.464)      (8.381, 8.641)      (8.641, 8.831)      (8.831, 8.901)      (8.901, 9.091)      (9.091, 9.501)      (9.501, 9.741)      (9.741, 9.891)      (9.891, 10.415)     (10.491, 10.661)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80662707044353      80662707044353      80662707044353      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġuh                 Ġmy                 Ġwife               Ġuh                 Ġuh                 Ġwas                Ġan                 Ġonly               Ġchild              Ġbut                Ġher                Ġfamily             Ġall               
Timings          : (4.954, 5.093)      (5.093, 5.232)      (6.208, 6.513)      (6.568, 6.698)      (6.698, 7.238)      (7.238, 7.464)      (8.381, 8.641)      (8.641, 8.831)      (8.831, 8.901)      (8.901, 9.091)      (9.091, 9.501)      (9.501, 9.741)      (9.741, 9.891)      (9.891, 10.415)     (10.491, 10.661)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.661, 10.921)    (10.921, 11.111)    (11.111, 11.821)    (11.821, 12.221)    (12.221, 12.301)    (12.301, 12.681)    (12.681, 13.131)    (13.131, 13.391)    (13.391, 13.761)    (13.761, 14.141)    (15.527, 15.683)    (15.683, 15.783)    (15.783, 15.888)    (15.888, 15.993)    (15.993, 16.123)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthrough            Ġher                Ġadolescence        Ġhad                Ġa                  Ġuh                 Ġsmall              Ġpull               Ġbehind             Ġtrailer            Ġso                 Ġthey               Ġdidn               't                  Ġgo                
Timings          : (10.661, 10.921)    (10.921, 11.111)    (11.111, 11.821)    (11.821, 12.221)    (12.221, 12.301)    (12.301, 12.681)    (12.681, 13.131)    (13.131, 13.391)    (13.391, 13.761)    (13.761, 14.141)    (15.527, 15.683)    (15.683, 15.783)    (15.783, 15.888)    (15.888, 15.993)    (15.993, 16.123)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.123, 16.373)    (16.373, 16.913)    (16.913, 17.353)    (17.353, 17.463)    (17.463, 17.843)    (17.843, 17.963)    (17.963, 18.243)    (18.243, 18.393)    (18.393, 18.493)    (18.493, 18.683)    (18.683, 18.723)    (18.723, 19.023)    (19.023, 19.173)    (19.173, 19.853)    (20.343, 20.84)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġout                Ġnecessarily        Ġcamping            Ġin                 Ġtents              Ġand                Ġsuch               Ġbut                Ġthey               Ġdid                Ġa                  Ġlot                Ġof                 Ġweekend            Ġum                
Timings          : (16.123, 16.373)    (16.373, 16.913)    (16.913, 17.353)    (17.353, 17.463)    (17.463, 17.843)    (17.843, 17.963)    (17.963, 18.243)    (18.243, 18.393)    (18.393, 18.493)    (18.493, 18.683)    (18.683, 18.723)    (18.723, 19.023)    (19.023, 19.173)    (19.173, 19.853)    (20.343, 20.84)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (20.931, 21.493)    (21.683, 21.823)    (21.823, 22.023)    (22.023, 22.103)    (22.103, 22.393)    (22.393, 22.683)    (22.683, 22.793)    (22.793, 22.863)    (22.863, 23.411)    (24.055, 24.303)    (24.303, 24.51)     (24.51, 24.717)     (24.717, 24.923)    (24.923, 25.308)    (25.308, 25.693)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtrips              Ġall                Ġthrough            Ġthe                Ġmid                west                Ġand                Ġthe                Ġeast               Ġuh                 Ġl                  anc                 aster               Ġpenn               sylvania           
Timings          : (20.931, 21.493)    (21.683, 21.823)    (21.823, 22.023)    (22.023, 22.103)    (22.103, 22.393)    (22.393, 22.683)    (22.683, 22.793)    (22.793, 22.863)    (22.863, 23.411)    (24.055, 24.303)    (24.303, 24.51)     (24.51, 24.717)     (24.717, 24.923)    (24.923, 25.308)    (25.308, 25.693)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.693, 25.793)    (25.793, 25.963)    (25.963, 26.173)    (26.173, 26.313)    (26.313, 26.443)    (26.443, 26.533)    (26.533, 26.623)    (26.623, 26.743)    (26.743, 26.773)    (26.773, 26.923)    (26.923, 26.983)    (26.983, 27.373)    (27.373, 27.473)    (27.473, 27.753)    (27.753, 27.956)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġso                 Ġforth              Ġand                Ġso                 Ġon                 Ġthey               Ġdid                Ġa                  Ġlot                Ġof                 Ġtraveling          Ġwith               Ġthat               Ġso                
Timings          : (25.693, 25.793)    (25.793, 25.963)    (25.963, 26.173)    (26.173, 26.313)    (26.313, 26.443)    (26.443, 26.533)    (26.533, 26.623)    (26.623, 26.743)    (26.743, 26.773)    (26.773, 26.923)    (26.923, 26.983)    (26.983, 27.373)    (27.373, 27.473)    (27.473, 27.753)    (27.753, 27.956)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617      80661096431617     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.032, 29.177)    (29.177, 29.298)    (29.533, 29.757)    (29.757, 29.917)    (29.917, 30.017)    (30.017, 30.495)    (30.837, 31.077)    (31.077, 31.218)    (31.218, 31.468)    (31.468, 31.688)    (31.688, 31.817)    (31.817, 31.897)    (31.897, 32.018)    (32.018, 32.257)    (33.127, 33.618)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
