A                : well                Ġbr                 ad                  Ġwhat               Ġdo                 Ġyou                Ġhear               Ġin                 Ġsan                Ġj                  ose                 Ġabout              Ġro                 ss                  Ġper               
Timings          : (0.04, 0.23)        (0.38, 0.6)         (0.6, 0.82)         (1.18, 1.27)        (1.27, 1.34)        (1.34, 1.49)        (1.49, 1.79)        (1.79, 1.91)        (1.91, 2.21)        (2.21, 2.47)        (2.47, 2.73)        (2.73, 3.12)        (3.12, 3.285)       (3.285, 3.45)       (3.45, 3.685)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.04, 0.23)        (0.38, 0.6)         (0.6, 0.82)         (1.18, 1.27)        (1.27, 1.34)        (1.34, 1.49)        (1.49, 1.79)        (1.79, 1.91)        (1.91, 2.21)        (2.21, 2.47)        (2.47, 2.73)        (2.73, 3.12)        (3.12, 3.285)       (3.285, 3.45)       (3.45, 3.685)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : ot                  Ġdo                 Ġyou                Ġhear               Ġas                 Ġmuch               Ġdo                 Ġyou                Ġthink              Ġas                 Ġwe                 Ġdo                 Ġhere               Ġin                 Ġd                 
Timings          : (3.685, 3.92)       (3.92, 4.04)        (4.04, 4.17)        (4.17, 4.34)        (4.34, 4.43)        (4.43, 4.74)        (4.74, 4.8)         (4.8, 4.89)         (4.89, 5.18)        (5.18, 5.28)        (5.28, 5.45)        (5.45, 5.63)        (5.63, 5.81)        (5.81, 5.91)        (5.91, 6.18)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888      80677739429888     
