A                : so                  <eot>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġcan                Ġstart              Ġthe                Ġnotion             Ġof                 Ġa                  Ġum                 Ġof                
Timings          : (0.082, 0.657)      (-1.0, -1.0)        (3.16, 3.32)        (3.32, 3.52)        (3.52, 3.999)       (4.234, 4.926)      (5.125, 5.314)      (5.314, 5.494)      (5.494, 5.906)      (9.734, 10.432)     (12.382, 12.902)    (12.902, 13.212)    (13.212, 13.602)    (13.851, 14.342)    (16.18, 16.38)     
Token Types      : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644992      80780818644992      0                   0                   0                   80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               well                Ġyou                Ġcan                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.082, 0.657)      (3.016, 3.16)       (3.16, 3.32)        (3.32, 3.52)        (3.52, 3.999)       (-1.0, -1.0)        (5.125, 5.314)      (5.314, 5.494)      (5.494, 5.906)      (9.734, 10.432)     (12.382, 12.902)    (12.902, 13.212)    (13.212, 13.602)    (13.851, 14.342)    (16.18, 16.38)     
Token Types      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   80781355515905      80781355515905      80781355515905      80781355515905      80781355515905      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuniversal          Ġservice            Ġsometimes          Ġsounds             Ġreal               Ġgood               Ġbut                Ġi                  Ġi                  Ġsometimes          Ġwonder             Ġwhether            Ġit                 's                  Ġif                
Timings          : (16.38, 16.93)      (16.93, 17.43)      (17.43, 17.88)      (17.88, 18.27)      (18.27, 18.48)      (18.48, 19.015)     (19.459, 19.912)    (22.155, 22.387)    (22.678, 22.831)    (22.831, 23.311)    (23.311, 23.701)    (23.701, 24.328)    (24.328, 24.704)    (24.704, 25.081)    (25.694, 25.831)   
