A                : you                 Ġwanna              Ġgo                 Ġfirst              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (1.177, 1.257)      (1.257, 1.427)      (1.427, 1.577)      (1.577, 2.145)      (-1.0, -1.0)        (3.533, 4.029)      (5.136, 5.342)      (5.342, 5.491)      (5.491, 5.558)      (5.558, 5.626)      (5.626, 5.706)      (5.706, 5.876)      (5.876, 6.046)      (6.046, 6.176)      (6.176, 6.276)     
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81107236159488      81107236159488      81107236159488      81107236159488      81107236159488      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               well                Ġuh                 Ġno                 Ġi                  Ġdon                't                  Ġi                  Ġdon                't                  Ġget                Ġas                
Timings          : (1.177, 1.257)      (1.257, 1.427)      (1.427, 1.577)      (1.577, 2.145)      (2.656, 3.109)      (3.533, 4.029)      (5.136, 5.342)      (5.342, 5.491)      (5.491, 5.558)      (5.558, 5.626)      (5.626, 5.706)      (5.706, 5.876)      (5.876, 6.046)      (6.046, 6.176)      (6.176, 6.276)     
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.276, 6.506)      (6.506, 7.066)      (7.066, 7.246)      (7.246, 7.555)      (7.728, 7.876)      (7.876, 7.996)      (7.996, 8.316)      (8.316, 8.506)      (8.506, 8.766)      (8.766, 8.886)      (8.886, 9.046)      (9.046, 9.126)      (9.126, 9.296)      (9.296, 9.486)      (9.486, 9.68)      
