A                : my                  Ġfeelings           Ġon                 Ġcrime              Ġbeing              Ġup                 Ġhere               Ġin                 Ġro                 chester             Ġwe                 're                 Ġin                 Ġwestern            Ġnew               
Timings          : (0.011, 0.189)      (0.357, 0.9)        (0.9, 1.08)         (1.08, 1.51)        (1.51, 1.74)        (1.74, 1.91)        (1.91, 2.03)        (2.03, 2.15)        (2.15, 2.41)        (2.41, 2.67)        (2.67, 2.75)        (2.75, 2.83)        (2.83, 2.93)        (2.93, 3.29)        (3.29, 3.42)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.011, 0.189)      (0.357, 0.9)        (0.9, 1.08)         (1.08, 1.51)        (1.51, 1.74)        (1.74, 1.91)        (1.91, 2.03)        (2.03, 2.15)        (2.15, 2.41)        (2.41, 2.67)        (2.67, 2.75)        (2.75, 2.83)        (2.83, 2.93)        (2.93, 3.29)        (3.29, 3.42)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġy                  ork                 Ġand                Ġreally             Ġwe                 Ġdon                't                  Ġhave               Ġa                  Ġhuge               Ġproblem            Ġwith               Ġuh                 Ġcrime              Ġas                
Timings          : (3.42, 3.59)        (3.59, 3.76)        (3.76, 4.01)        (4.01, 4.32)        (4.32, 4.5)         (4.5, 4.615)        (4.615, 4.73)       (4.73, 4.95)        (4.95, 5.09)        (5.09, 5.535)       (5.535, 6.103)      (7.051, 7.401)      (7.401, 7.551)      (7.551, 8.021)      (8.021, 8.171)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.42, 3.59)        (3.59, 3.76)        (3.76, 4.01)        (4.01, 4.32)        (4.32, 4.5)         (4.5, 4.615)        (4.615, 4.73)       (4.73, 4.95)        (4.95, 5.09)        (5.09, 5.535)       (5.535, 6.103)      (7.051, 7.401)      (7.401, 7.551)      (7.551, 8.021)      (8.021, 8.171)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmuch               Ġas                 Ġsay                Ġnew                Ġy                  ork                 Ġcity               <emp>               Ġum                 Ġby                 Ġfar                Ġum                 Ġalthough           Ġthis               Ġyear              
Timings          : (8.171, 8.411)      (8.411, 8.591)      (8.591, 8.821)      (8.821, 8.951)      (8.951, 9.091)      (9.091, 9.231)      (9.231, 9.706)      (9.883, 10.229)     (10.29, 10.54)      (10.54, 10.802)     (10.802, 11.46)     (11.46, 12.098)     (12.573, 12.94)     (12.94, 13.22)      (13.22, 13.44)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               right               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (8.171, 8.411)      (8.411, 8.591)      (8.591, 8.821)      (8.821, 8.951)      (8.951, 9.091)      (9.091, 9.231)      (9.231, 9.706)      (9.883, 10.229)     (-1.0, -1.0)        (10.54, 10.802)     (10.802, 11.46)     (11.46, 12.098)     (12.573, 12.94)     (12.94, 13.22)      (13.22, 13.44)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81333258813440      81333258813440      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġwe                 Ġdid                Ġhave               Ġfifteen            Ġmurders            Ġfor                Ġthe                Ġyear               Ġsending            Ġuh                 Ġthe                Ġlocal              Ġpress              Ġhere               Ġinto              
Timings          : (13.44, 13.62)      (13.62, 13.88)      (13.88, 14.2)       (14.2, 14.73)       (14.73, 15.25)      (15.25, 15.44)      (15.44, 15.52)      (15.52, 15.943)     (16.867, 17.426)    (17.426, 17.596)    (17.596, 17.696)    (17.696, 18.076)    (18.076, 18.426)    (18.426, 18.596)    (18.596, 18.809)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.44, 13.62)      (13.62, 13.88)      (13.88, 14.2)       (14.2, 14.73)       (14.73, 15.25)      (15.25, 15.44)      (15.44, 15.52)      (15.52, 15.943)     (16.867, 17.426)    (17.426, 17.596)    (17.596, 17.696)    (17.696, 18.076)    (18.076, 18.426)    (18.426, 18.596)    (18.596, 18.809)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġt                  izzy                Ġover               Ġwhat               Ġthe                Ġmayor              Ġwas                Ġgoing              Ġto                 Ġdo                 Ġabout              Ġall                Ġthis               Ġstuff             
