A                : now                 Ġum                 Ġwe                 're                 Ġdriving            Ġa                  Ġnineteen           Ġeighty             Ġfive               Ġuh                 Ġbu                 ick                 Ġpark               Ġavenue             Ġthat              
Timings          : (0.086, 0.582)      (0.705, 1.293)      (1.752, 1.819)      (1.819, 1.885)      (1.885, 2.461)      (2.461, 2.67)       (2.67, 3.19)        (3.19, 3.43)        (3.43, 4.195)       (4.493, 4.69)       (4.69, 4.995)       (4.995, 5.3)        (5.3, 5.62)         (5.62, 6.147)       (6.72, 6.84)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.086, 0.582)      (0.705, 1.293)      (1.752, 1.819)      (1.819, 1.885)      (1.885, 2.461)      (2.461, 2.67)       (2.67, 3.19)        (3.19, 3.43)        (3.43, 4.195)       (4.493, 4.69)       (4.69, 4.995)       (4.995, 5.3)        (5.3, 5.62)         (5.62, 6.147)       (6.72, 6.84)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġstill              Ġon                 Ġthe                Ġroad               <eot>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġuh                 Ġit                
Timings          : (6.84, 6.96)        (6.96, 7.29)        (7.29, 7.48)        (7.48, 7.56)        (7.56, 8.002)       (-1.0, -1.0)        (8.67, 8.89)        (8.89, 9.03)        (9.03, 9.12)        (9.12, 9.709)       (9.89, 10.631)      (11.537, 11.714)    (11.714, 11.89)     (11.89, 12.42)      (12.42, 12.673)    
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
