A                : well                Ġi                  'm                  Ġare                Ġyou                Ġthere              <emp>               Ġokay               Ġi                  'm                  Ġsure               Ġthat               Ġi                  Ġprobably           Ġum                
Timings          : (0.953, 1.203)      (1.203, 1.317)      (1.317, 1.431)      (1.653, 1.73)       (1.73, 1.873)       (1.873, 2.189)      (2.225, 2.485)      (2.682, 3.252)      (3.252, 3.332)      (3.332, 3.412)      (3.412, 3.602)      (3.602, 3.772)      (3.772, 3.912)      (3.912, 4.462)      (4.462, 4.762)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yes                 Ġyes                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.953, 1.203)      (1.203, 1.317)      (1.317, 1.431)      (1.653, 1.73)       (1.73, 1.873)       (1.873, 2.189)      (2.225, 2.485)      (2.655, 2.875)      (-1.0, -1.0)        (3.332, 3.412)      (3.412, 3.602)      (3.602, 3.772)      (3.772, 3.912)      (3.912, 4.462)      (4.462, 4.762)     
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81747723157504      81747723157504      81747723157504      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġprescribe          Ġto                 Ġdifferent          Ġmagazines          Ġones               Ġthat               Ġyou                Ġdo                 Ġi                  Ġtake               Ġdoll               Ġreader             Ġand                Ġdoll               Ġworld             
Timings          : (5.112, 5.612)      (5.612, 5.772)      (5.772, 6.112)      (6.112, 6.662)      (6.662, 6.832)      (6.832, 7.022)      (7.022, 7.181)      (7.181, 7.531)      (8.162, 8.32)       (8.32, 8.58)        (8.58, 8.962)       (8.962, 9.422)      (9.422, 9.612)      (9.612, 9.962)      (9.962, 10.676)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296      81742891319296     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.112, 5.612)      (5.612, 5.772)      (5.772, 6.112)      (6.112, 6.662)      (6.662, 6.832)      (6.832, 7.022)      (7.022, 7.181)      (7.181, 7.531)      (8.162, 8.32)       (8.32, 8.58)        (8.58, 8.962)       (8.962, 9.422)      (9.422, 9.612)      (9.612, 9.962)      (9.962, 10.676)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               because             <eint>              Ġbecause            Ġi                  Ġcollect            Ġdolls              Ġum                 Ġi                  Ġalso               Ġtake               Ġbetter             Ġhomes              Ġand                Ġgardens           
Timings          : (-1.0, -1.0)        (12.366, 12.759)    (-1.0, -1.0)        (13.28, 13.72)      (13.72, 13.87)      (13.87, 14.43)      (14.43, 14.94)      (16.57, 17.178)     (17.178, 17.34)     (17.34, 17.66)      (17.66, 17.93)      (17.93, 18.15)      (18.15, 18.4)       (18.4, 18.52)       (18.52, 19.07)     
Token Types      : 1                   5                   5                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319296      81747186286593      81747186286593      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298     
turn_end_types   : 1                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               different           Ġset                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (12.331, 12.695)    (12.695, 13.191)    (-1.0, -1.0)        (13.72, 13.87)      (13.87, 14.43)      (14.43, 14.94)      (16.57, 17.178)     (17.178, 17.34)     (17.34, 17.66)      (17.66, 17.93)      (17.93, 18.15)      (18.15, 18.4)       (18.4, 18.52)       (18.52, 19.07)     
Token Types      : 0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   81743428190209      81743428190209      81743428190209      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               <emp>               Ġi                  Ġlike               Ġthat               Ġand                Ġthen               Ġuh                 Ġmy                 Ġhusband            Ġhe                 Ġjust               Ġuh                 Ġsubscribed         Ġto                
Timings          : (19.023, 19.253)    (19.253, 19.483)    (19.97, 20.12)      (20.12, 20.36)      (20.47, 20.89)      (20.98, 21.23)      (21.23, 21.52)      (21.52, 21.73)      (21.73, 22.15)      (22.15, 22.52)      (22.52, 22.64)      (22.64, 22.962)     (22.962, 23.277)    (23.695, 24.26)     (24.26, 24.46)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (19.023, 19.253)    (19.253, 19.483)    (-1.0, -1.0)        (20.12, 20.36)      (20.47, 20.89)      (20.98, 21.23)      (21.23, 21.52)      (21.52, 21.73)      (21.73, 22.15)      (22.15, 22.52)      (22.52, 22.64)      (22.64, 22.962)     (22.962, 23.277)    (23.695, 24.26)     (24.26, 24.46)     
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81745575673857      81745575673857      81745575673857      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġwood               Ġhe                 Ġjust               Ġstarted            Ġa                  Ġwood               work                Ġso                 Ġhe                 Ġjust               Ġsent               Ġaway               Ġto                 Ġget               
Timings          : (24.46, 24.56)      (24.56, 25.2)       (25.2, 25.31)       (25.31, 25.52)      (25.52, 26.03)      (26.03, 26.244)     (26.244, 26.865)    (26.865, 27.487)    (28.26, 28.41)      (28.41, 28.58)      (28.58, 28.8)       (28.8, 28.97)       (28.97, 29.33)      (29.33, 29.47)      (29.47, 29.67)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (24.46, 24.56)      (24.56, 25.2)       (25.2, 25.31)       (25.31, 25.52)      (25.52, 26.03)      (26.03, 26.244)     (26.244, 26.865)    (26.865, 27.487)    (28.26, 28.41)      (28.41, 28.58)      (28.58, 28.8)       (28.8, 28.97)       (28.97, 29.33)      (29.33, 29.47)      (29.47, 29.67)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsome               Ġwood               working             Ġbooks              <emp>               Ġso                 Ġwhat               Ġkind               Ġdo                 Ġyou                Ġuh                 Ġget                <yield>             <emp>               <emp>              
Timings          : (29.67, 29.95)      (29.95, 30.215)     (30.215, 30.48)     (30.48, 30.96)      (-1.0, -1.0)        (31.728, 32.018)    (32.018, 32.237)    (32.237, 32.487)    (32.487, 32.568)    (32.568, 32.798)    (32.798, 33.107)    (33.107, 33.357)    (-1.0, -1.0)        (33.857, 33.923)    (33.923, 34.153)   
