A                : ok                  ay                  Ġuh                 Ġwe                 Ġkeep               Ġa                  Ġmonthly            Ġbudget             Ġi                  Ġjust               Ġrecently           Ġstopped            Ġworking            Ġso                 Ġi                 
Timings          : (0.081, 0.305)      (0.305, 0.53)       (0.53, 1.168)       (1.495, 1.62)       (1.62, 1.91)        (1.91, 2.02)        (2.02, 2.48)        (2.48, 3.03)        (3.03, 3.177)       (3.177, 3.418)      (3.418, 4.413)      (4.413, 4.82)       (4.82, 5.35)        (5.35, 5.45)        (5.45, 5.619)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.081, 0.305)      (0.305, 0.53)       (0.53, 1.168)       (1.495, 1.62)       (1.62, 1.91)        (1.91, 2.02)        (2.02, 2.48)        (2.48, 3.03)        (3.03, 3.177)       (3.177, 3.418)      (3.418, 4.413)      (4.413, 4.82)       (4.82, 5.35)        (5.35, 5.45)        (5.45, 5.619)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcan                Ġbe                 Ġhome               Ġwith               Ġmy                 Ġkids               Ġso                 Ġwe                 Ġkeep               Ġa                  Ġa                  Ġmonthly            Ġbudget             Ġand                Ġwe                
Timings          : (5.619, 6.02)       (6.02, 6.17)        (6.17, 6.28)        (6.28, 6.41)        (6.41, 6.57)        (6.57, 7.048)       (8.05, 8.24)        (8.24, 8.342)       (8.342, 8.628)      (8.628, 8.858)      (8.858, 8.93)       (8.93, 9.39)        (9.39, 9.74)        (9.74, 9.94)        (9.94, 10.02)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

