A                : um                  Ġa                  Ġlot                Ġof                 Ġcompanies          Ġnow                Ġare                Ġare                Ġusing              Ġuh                 Ġdrug               Ġtesting            Ġuh                 Ġparap              hern               
Timings          : (0.04, 0.213)       (1.432, 1.518)      (1.518, 1.652)      (1.652, 1.722)      (1.722, 2.192)      (2.192, 2.662)      (2.662, 3.079)      (3.169, 3.332)      (3.332, 3.932)      (3.932, 4.112)      (4.112, 4.592)      (4.953, 5.525)      (5.525, 5.754)      (5.754, 5.96)       (5.96, 6.166)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.04, 0.213)       (1.432, 1.518)      (1.518, 1.652)      (1.652, 1.722)      (1.722, 2.192)      (2.192, 2.662)      (2.662, 3.079)      (3.169, 3.332)      (3.332, 3.932)      (3.932, 4.112)      (4.112, 4.592)      (4.953, 5.525)      (5.525, 5.754)      (5.754, 5.96)       (5.96, 6.166)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : alia                Ġand                Ġdrug               Ġtesting            Ġsituations         Ġto                 Ġto                 Ġroot               Ġout                Ġthe                Ġthe                Ġeither             Ġuh                 Ġyeah               Ġelementary        
Timings          : (6.166, 6.372)      (6.372, 6.572)      (6.572, 6.832)      (6.832, 7.282)      (7.282, 7.992)      (7.992, 8.204)      (8.615, 8.762)      (8.762, 9.032)      (9.032, 9.252)      (9.252, 9.501)      (10.013, 10.441)    (10.441, 11.014)    (11.406, 11.966)    (13.689, 13.899)    (13.899, 14.779)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584      81863150403584     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.166, 6.372)      (6.372, 6.572)      (6.572, 6.832)      (6.832, 7.282)      (7.282, 7.992)      (7.992, 8.204)      (8.615, 8.762)      (8.762, 9.032)      (9.032, 9.252)      (9.252, 9.501)      (10.013, 10.441)    (10.441, 11.014)    (11.406, 11.966)    (13.689, 13.899)    (13.899, 14.779)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


