A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġmy                 Ġpersonal           Ġperception         Ġof                 Ġgovernment         Ġand                Ġuh                 Ġthe                Ġway                Ġthings            
Timings          : (0.407, 0.863)      (1.194, 1.278)      (1.278, 1.374)      (1.374, 1.47)       (1.47, 1.56)        (1.56, 1.74)        (1.74, 2.16)        (2.16, 2.77)        (2.77, 2.91)        (3.01, 3.63)        (3.63, 4.12)        (4.12, 4.45)        (4.45, 4.53)        (4.53, 4.7)         (4.7, 5.02)        
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504      81949049749504     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.407, 0.863)      (1.194, 1.278)      (1.278, 1.374)      (1.374, 1.47)       (1.47, 1.56)        (1.56, 1.74)        (1.74, 2.16)        (2.16, 2.77)        (2.77, 2.91)        (3.01, 3.63)        (3.63, 4.12)        (4.12, 4.45)        (4.45, 4.53)        (4.53, 4.7)         (4.7, 5.02)        
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


