A                : been                Ġon                 Ġthe                Ġline               Ġfor                Ġawhile             Ġi                  Ġalmost             Ġforgot             Ġwhat               Ġthe                Ġtopic              Ġwas                <eot>               <emp>              
Timings          : (0.014, 0.093)      (0.093, 0.21)       (0.21, 0.3)         (0.3, 0.59)         (0.59, 0.68)        (0.68, 0.91)        (0.91, 1.057)       (1.057, 1.41)       (1.41, 1.73)        (1.73, 1.86)        (1.86, 1.92)        (1.92, 2.46)        (2.46, 3.052)       (-1.0, -1.0)        (3.457, 3.761)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      82017769226240      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               ok                  ay                 
Timings          : (0.014, 0.093)      (0.093, 0.21)       (0.21, 0.3)         (0.3, 0.59)         (0.59, 0.68)        (0.68, 0.91)        (0.91, 1.057)       (1.057, 1.41)       (1.41, 1.73)        (1.73, 1.86)        (1.86, 1.92)        (1.92, 2.46)        (2.46, 3.052)       (3.153, 3.457)      (3.457, 3.761)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82018306097153      82018306097153     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġuh                 Ġbut                Ġi                  Ġknow               Ġwhat               Ġit                 Ġis                 <emp>               <emp>               Ġuh                 Ġlet                Ġme                 Ġsee                Ġi                 
Timings          : (4.096, 4.574)      (4.653, 4.971)      (5.187, 5.349)      (5.349, 5.579)      (5.579, 5.759)      (5.759, 5.849)      (5.849, 5.983)      (5.983, 6.232)      (6.201, 6.652)      (6.652, 6.819)      (8.72, 9.243)       (9.635, 9.726)      (9.726, 9.869)      (9.869, 10.418)     (10.418, 10.699)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġum                 Ġbased              <eot>               <emp>               <emp>               <emp>               <emp>               oh                  Ġokay               Ġgood               <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (4.096, 4.574)      (4.574, 4.809)      (-1.0, -1.0)        (5.349, 5.579)      (5.579, 5.759)      (5.759, 5.849)      (5.849, 5.983)      (6.03, 6.201)       (6.201, 6.652)      (6.652, 6.819)      (-1.0, -1.0)        (9.635, 9.726)      (9.726, 9.869)      (9.869, 10.418)     (10.418, 10.699)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   5                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 82018306097153      82018306097153      82018306097153      0                   0                   0                   0                   82022601064449      82022601064449      82022601064449      82022601064449      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġi                  Ġi                  Ġi                  Ġi                  'm                  Ġkind               Ġof                 Ġi                  Ġdon                't                  Ġknow               Ġyou                Ġknow               Ġi                  'm                 
Timings          : (10.699, 11.322)    (11.322, 11.717)    (11.717, 11.96)     (12.344, 12.466)    (12.466, 12.589)    (12.589, 12.859)    (12.859, 12.96)     (13.163, 13.386)    (13.386, 13.51)     (13.51, 13.634)     (13.634, 14.079)    (14.079, 14.179)    (14.179, 14.399)    (14.399, 14.498)    (14.498, 14.597)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.699, 11.322)    (11.322, 11.717)    (11.717, 11.96)     (12.344, 12.466)    (12.466, 12.589)    (12.589, 12.859)    (12.859, 12.96)     (13.163, 13.386)    (13.386, 13.51)     (13.51, 13.634)     (13.634, 14.079)    (14.079, 14.179)    (14.179, 14.399)    (14.399, 14.498)    (14.498, 14.597)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  'm                  Ġkind               Ġof                 Ġin                 Ġthe                Ġmiddle             Ġi                  Ġi                  Ġthink              Ġit                 's                  Ġa                  Ġgreat              Ġidea              
Timings          : (14.861, 14.92)     (14.92, 14.979)     (14.979, 15.369)    (15.369, 15.459)    (15.459, 15.549)    (15.549, 15.629)    (15.629, 15.979)    (15.979, 16.069)    (16.069, 16.229)    (16.229, 16.449)    (16.449, 16.534)    (16.534, 16.619)    (16.619, 16.689)    (16.689, 17.059)    (17.059, 17.704)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (14.861, 14.92)     (14.92, 14.979)     (14.979, 15.369)    (15.369, 15.459)    (15.459, 15.549)    (15.549, 15.629)    (15.629, 15.979)    (15.979, 16.069)    (16.069, 16.229)    (16.229, 16.449)    (16.449, 16.534)    (16.534, 16.619)    (16.619, 16.689)    (16.689, 17.059)    (17.059, 17.704)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               <emp>               Ġbut                Ġwhen               Ġit                 Ġcomes              Ġto                 Ġme                 Ġit                 's                  Ġlike               Ġalmost             Ġan                 Ġinsult             Ġyou               
Timings          : (18.006, 18.139)    (18.139, 18.272)    (18.297, 18.391)    (18.391, 18.501)    (18.501, 18.611)    (18.611, 18.931)    (18.931, 19.101)    (19.101, 19.411)    (19.411, 19.521)    (19.521, 19.631)    (19.631, 19.861)    (19.861, 20.155)    (20.155, 20.313)    (20.313, 21.031)    (21.031, 21.131)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (18.006, 18.139)    (18.139, 18.272)    (18.272, 18.406)    (-1.0, -1.0)        (18.501, 18.611)    (18.611, 18.931)    (18.931, 19.101)    (19.101, 19.411)    (19.411, 19.521)    (19.521, 19.631)    (19.631, 19.861)    (19.861, 20.155)    (20.155, 20.313)    (20.313, 21.031)    (21.031, 21.131)   
Token Types      : 3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82020453580801      82020453580801      82020453580801      82020453580801      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġso                 Ġit                 's                  Ġi                  Ġi                  've                 Ġcome               Ġfrom               Ġthe                Ġteaching           Ġfield              <eot>               so                  <eint>             
Timings          : (21.131, 21.394)    (21.394, 21.491)    (21.491, 21.582)    (21.582, 21.673)    (22.253, 22.448)    (22.448, 22.535)    (22.535, 22.621)    (22.621, 22.841)    (22.841, 23.011)    (23.011, 23.091)    (23.091, 23.581)    (23.581, 24.1)      (-1.0, -1.0)        (24.782, 25.293)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   5                   5                  
turn_ids         : 82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82017769226242      82022064193538      82022064193538     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġso                 Ġdo                
Timings          : (21.131, 21.394)    (21.394, 21.491)    (21.491, 21.582)    (21.582, 21.673)    (22.253, 22.448)    (22.448, 22.535)    (22.535, 22.621)    (22.621, 22.841)    (22.841, 23.011)    (23.011, 23.091)    (23.091, 23.581)    (23.581, 24.1)      (24.466, 24.836)    (24.836, 25.056)    (25.056, 25.183)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82018306097155      82018306097155      82018306097155     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               Ġso                 Ġit                 's                  Ġjust               Ġlike               Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġi                  Ġguess              Ġi                  Ġguess             
