A                : have                Ġyou                Ġever               Ġdone               Ġthis               <eot>               <emp>               <emp>               <emp>               Ġwhat               Ġdid                Ġyou                Ġdo                 <yield>             Ġunfortunately     
Timings          : (0.496, 0.706)      (0.706, 0.796)      (0.796, 1.006)      (1.006, 1.276)      (1.276, 1.586)      (-1.0, -1.0)        (2.372, 2.524)      (2.524, 2.845)      (-1.0, -1.0)        (3.535, 3.715)      (3.715, 3.895)      (3.895, 3.955)      (3.955, 4.195)      (-1.0, -1.0)        (5.073, 6.074)     
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525632      82241107525632      82241107525632      82241107525632      82241107525632      82241107525632      0                   0                   0                   82241107525634      82241107525634      82241107525634      82241107525634      82241107525634      82241107525636     
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   2                   2                   2                   2                   2                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               yes                 Ġi                  Ġhave               <eot>               Ġunfortunately      <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.496, 0.706)      (0.706, 0.796)      (0.796, 1.006)      (1.006, 1.276)      (1.276, 1.586)      (1.882, 2.372)      (2.372, 2.524)      (2.524, 2.845)      (-1.0, -1.0)        (3.607, 4.347)      (-1.0, -1.0)        (3.895, 3.955)      (3.955, 4.195)      (-1.0, -1.0)        (5.073, 6.074)     
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   4                   4                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82241644396545      82241644396545      82241644396545      82241644396545      82244865622019      82244865622019      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġuh                 Ġoh                 Ġthis               Ġwill               Ġbe                 Ġinteresting        <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
