A                : ok                  ay                  Ġrand               all                 Ġuh                 Ġuh                 Ġdo                 Ġyou                Ġhave               Ġany                Ġspecial            Ġinterest           Ġin                 Ġuh                 Ġspace             
Timings          : (0.016, 0.103)      (0.103, 0.19)       (0.19, 0.345)       (0.345, 0.5)        (0.5, 0.753)        (1.051, 1.38)       (1.38, 1.82)        (1.82, 1.93)        (1.93, 2.09)        (2.09, 2.33)        (2.33, 2.74)        (2.74, 3.2)         (3.2, 3.42)         (3.42, 3.56)        (3.56, 3.88)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288      82395726348288     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.016, 0.103)      (0.103, 0.19)       (0.19, 0.345)       (0.345, 0.5)        (0.5, 0.753)        (1.051, 1.38)       (1.38, 1.82)        (1.82, 1.93)        (1.93, 2.09)        (2.09, 2.33)        (2.33, 2.74)        (2.74, 3.2)         (3.2, 3.42)         (3.42, 3.56)        (3.56, 3.88)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġflight             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.88, 4.138)       (-1.0, -1.0)        (5.143, 5.491)      (5.974, 6.183)      (6.183, 6.423)      (6.423, 6.483)      (6.483, 6.802)      (6.802, 7.126)      (7.284, 7.593)      (7.593, 7.883)      (7.883, 8.104)      (8.579, 8.743)      (8.743, 8.843)      (8.843, 9.093)      (9.093, 9.213)     
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82395726348288      82395726348288      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               oh                  Ġyeah               Ġever               Ġsince              Ġi                  Ġwas                Ġa                  Ġyoung              Ġand                Ġuh                 Ġused               Ġto                 Ġwatch              Ġthe               
Timings          : (3.88, 4.138)       (4.863, 5.143)      (5.143, 5.491)      (5.974, 6.183)      (6.183, 6.423)      (6.423, 6.483)      (6.483, 6.802)      (6.802, 7.126)      (7.284, 7.593)      (7.593, 7.883)      (7.883, 8.104)      (8.579, 8.743)      (8.743, 8.843)      (8.843, 9.093)      (9.093, 9.213)     
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                 
Timings          : (9.213, 9.463)      (9.463, 9.653)      (9.653, 9.853)      (9.853, 10.053)     (10.053, 10.453)    (10.453, 10.813)    (10.813, 11.133)    (11.133, 11.313)    (11.313, 11.568)    (11.855, 12.353)    (12.353, 12.769)    (12.769, 13.186)    (13.254, 13.381)    (13.381, 13.507)    (13.507, 13.634)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82397873831937      82397873831937      82397873831937     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġold                Ġuh                 Ġap                 ollo                Ġmissions           Ġgoing              Ġoff                Ġin                 Ġuh                 Ġclassroom          Ġt                  vs                  <emp>               <emp>               <emp>              
Timings          : (9.213, 9.463)      (9.463, 9.653)      (9.653, 9.853)      (9.853, 10.053)     (10.053, 10.453)    (10.453, 10.813)    (10.813, 11.133)    (11.133, 11.313)    (11.313, 11.568)    (11.855, 12.353)    (12.353, 12.769)    (12.769, 13.186)    (13.254, 13.381)    (13.381, 13.507)    (13.507, 13.634)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
