A                : any                 way                 Ġi                  Ġguess              Ġthere              Ġwas                Ġjust               Ġsomebody           Ġrecently           Ġdown               Ġthere              Ġwasn               't                  Ġtoday              Ġin                
Timings          : (0.108, 0.268)      (0.268, 0.428)      (0.428, 0.518)      (0.518, 0.758)      (0.758, 0.848)      (0.848, 0.958)      (0.958, 1.128)      (1.128, 1.408)      (1.408, 1.798)      (1.798, 2.048)      (2.048, 2.228)      (2.228, 2.355)      (2.355, 2.482)      (2.757, 3.058)      (3.058, 3.138)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.108, 0.268)      (0.268, 0.428)      (0.428, 0.518)      (0.518, 0.758)      (0.758, 0.848)      (0.848, 0.958)      (0.958, 1.128)      (1.128, 1.408)      (1.408, 1.798)      (1.798, 2.048)      (2.048, 2.228)      (2.228, 2.355)      (2.355, 2.482)      (2.757, 3.058)      (3.058, 3.138)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtex                as                  Ġwas                Ġit                 Ġor                 Ġthere              Ġwas                Ġuh                 <eot>               Ġput                Ġto                 Ġdeath              <emp>               <eot>               <emp>              
Timings          : (3.138, 3.343)      (3.343, 3.548)      (3.548, 3.708)      (3.708, 3.828)      (3.828, 4.156)      (4.683, 4.858)      (4.858, 5.208)      (5.208, 5.571)      (-1.0, -1.0)        (6.519, 6.699)      (6.699, 6.789)      (6.789, 7.26)       (-1.0, -1.0)        (-1.0, -1.0)        (9.742, 9.816)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   4                   4                   4                   0                   4                   0                  
turn_ids         : 82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82430086086656      82433307312130      82433307312130      82433307312130      0                   82433307312130      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   0                  

