A                : what                Ġdo                 Ġyou                Ġthink              Ġabout              Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.13, 0.24)        (0.24, 0.3)         (0.3, 0.439)        (0.439, 0.619)      (0.619, 0.95)       (0.95, 1.37)        (1.37, 2.027)       (-1.0, -1.0)        (3.245, 3.355)      (3.355, 3.466)      (3.466, 3.706)      (3.706, 3.796)      (3.796, 3.926)      (3.926, 4.386)      (4.386, 4.476)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82481625694208      82481625694208      82481625694208      82481625694208      82481625694208      82481625694208      82481625694208      82481625694208      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  'm                  Ġkind               Ġof                 Ġin                 Ġfavor              Ġof                
Timings          : (0.13, 0.24)        (0.24, 0.3)         (0.3, 0.439)        (0.439, 0.619)      (0.619, 0.95)       (0.95, 1.37)        (1.37, 2.027)       (2.366, 2.864)      (3.245, 3.355)      (3.355, 3.466)      (3.466, 3.706)      (3.706, 3.796)      (3.796, 3.926)      (3.926, 4.386)      (4.386, 4.476)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82482162565121      82482162565121      82482162565121      82482162565121      82482162565121      82482162565121      82482162565121      82482162565121     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwhich              Ġcrimes             Ġdo                 Ġyou                Ġfeel               Ġthat               <eot>               <emp>               <emp>               <emp>              
