A                : ok                  ay                  Ġum                 Ġi                  'm                  Ġi                  'm                  Ġnot                Ġto                 Ġfamiliar           Ġwith               Ġthe                Ġtopic              Ġbecause            Ġuh                
Timings          : (0.008, 0.149)      (0.149, 0.29)       (0.876, 1.39)       (2.899, 3.239)      (3.239, 3.58)       (3.58, 3.681)       (3.681, 3.783)      (3.783, 3.953)      (3.953, 4.133)      (4.133, 4.633)      (4.633, 4.846)      (4.846, 4.974)      (4.974, 5.483)      (5.483, 6.083)      (6.083, 6.387)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.008, 0.149)      (0.149, 0.29)       (0.876, 1.39)       (2.899, 3.239)      (3.239, 3.58)       (3.58, 3.681)       (3.681, 3.783)      (3.783, 3.953)      (3.953, 4.133)      (4.133, 4.633)      (4.633, 4.846)      (4.846, 4.974)      (4.974, 5.483)      (5.483, 6.083)      (6.083, 6.387)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġhaven              't                  Ġbeen               Ġin                 Ġthat               Ġsituation          Ġi                  Ġguess              Ġbut                Ġi                  Ġwatch              Ġa                  Ġlot                Ġof                
Timings          : (6.564, 6.711)      (6.711, 6.769)      (6.769, 6.827)      (6.827, 6.933)      (6.933, 7.013)      (7.013, 7.183)      (7.183, 7.896)      (7.896, 7.972)      (7.972, 8.253)      (8.763, 8.943)      (8.943, 9.033)      (9.033, 9.343)      (9.343, 9.403)      (9.403, 9.593)      (9.593, 9.663)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.564, 6.711)      (6.711, 6.769)      (6.769, 6.827)      (6.827, 6.933)      (6.933, 7.013)      (7.013, 7.183)      (7.183, 7.896)      (7.896, 7.972)      (7.972, 8.253)      (8.763, 8.943)      (8.943, 9.033)      (9.033, 9.343)      (9.343, 9.403)      (9.403, 9.593)      (9.593, 9.663)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġdocumentaries      Ġon                 Ġtv                 Ġand                Ġthat               Ġkind               Ġof                 Ġthing              Ġit                 Ġalways             Ġkind               Ġof                 Ġinterests          Ġme                
Timings          : (9.663, 9.766)      (9.766, 10.485)     (10.485, 10.633)    (10.633, 11.033)    (11.033, 11.153)    (11.153, 11.303)    (11.303, 11.483)    (11.483, 11.543)    (11.543, 11.693)    (11.693, 11.823)    (11.823, 12.049)    (12.049, 12.213)    (12.213, 12.32)     (12.32, 12.818)     (12.818, 13.186)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944      82550345170944     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (9.663, 9.766)      (9.766, 10.485)     (10.485, 10.633)    (10.633, 11.033)    (11.033, 11.153)    (11.153, 11.303)    (11.303, 11.483)    (11.483, 11.543)    (11.543, 11.693)    (11.693, 11.823)    (11.823, 12.049)    (12.049, 12.213)    (12.213, 12.32)     (12.32, 12.818)     (12.818, 13.186)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               and                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (13.885, 14.396)    (-1.0, -1.0)        (14.188, 14.418)    (14.418, 14.718)    (14.718, 14.788)    (14.788, 15.108)    (15.108, 15.268)    (15.268, 15.298)    (15.298, 15.428)    (15.428, 15.558)    (15.558, 15.738)    (15.738, 15.848)    (15.848, 16.058)    (16.058, 16.392)   
Token Types      : 1                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550345170944      82554640138241      82554640138241      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : i                   Ġhad                Ġto                 Ġrun                Ġclose              Ġthe                Ġdoor               Ġso                 Ġi                  Ġdidn               't                  Ġhear               Ġthe                Ġwhole              Ġthing             
Timings          : (13.787, 13.92)     (13.92, 14.048)     (14.048, 14.188)    (14.188, 14.418)    (14.418, 14.718)    (14.718, 14.788)    (14.788, 15.108)    (15.108, 15.268)    (15.268, 15.298)    (15.298, 15.428)    (15.428, 15.558)    (15.558, 15.738)    (15.738, 15.848)    (15.848, 16.058)    (16.058, 16.392)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857      82550882041857     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġoh                 Ġokay               Ġabout              Ġum                 Ġpenalty            Ġand                Ġtrials             Ġand                Ġthat               Ġkind               Ġof                 Ġthing              Ġif                 Ġit                 Ġshould            
Timings          : (16.599, 16.876)    (16.876, 17.352)    (17.352, 17.792)    (17.792, 18.244)    (19.443, 19.917)    (19.917, 20.056)    (20.056, 20.586)    (20.586, 20.686)    (20.686, 20.871)    (20.871, 21.014)    (21.014, 21.126)    (21.126, 21.376)    (21.376, 21.516)    (21.516, 21.596)    (21.596, 21.726)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
