A                : do                  Ġyou                Ġhave               Ġany                Ġthoughts           Ġon                 Ġcompany            Ġbenefits           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.528, 0.58)       (0.58, 0.69)        (0.69, 0.83)        (0.83, 1.04)        (1.04, 1.42)        (1.42, 1.652)       (1.652, 2.01)       (2.01, 2.646)       (-1.0, -1.0)        (3.658, 4.118)      (4.118, 4.418)      (4.418, 4.608)      (4.608, 4.708)      (4.708, 4.808)      (4.808, 5.148)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82653424386048      82653424386048      82653424386048      82653424386048      82653424386048      82653424386048      82653424386048      82653424386048      82653424386048      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               i                   Ġdo                 Ġbut                Ġuh                 Ġthey               're                 Ġpretty            
Timings          : (0.528, 0.58)       (0.58, 0.69)        (0.69, 0.83)        (0.83, 1.04)        (1.04, 1.42)        (1.42, 1.652)       (1.652, 2.01)       (2.01, 2.646)       (3.421, 3.658)      (3.658, 4.118)      (4.118, 4.418)      (4.418, 4.608)      (4.608, 4.708)      (4.708, 4.808)      (4.808, 5.148)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      82653961256961     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  'm                  Ġprepared           <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.148, 5.503)      (5.503, 5.858)      (5.858, 5.958)      (5.958, 6.208)      (6.208, 6.298)      (6.298, 6.398)      (6.398, 6.593)      (7.291, 7.365)      (7.365, 7.439)      (7.439, 8.002)      (-1.0, -1.0)        (9.105, 9.315)      (9.315, 9.745)      (9.745, 9.945)      (9.945, 10.564)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82653424386050      82653424386050      82653424386050      82653424386050      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġsl                 anted               Ġi                  Ġwant               Ġyou                Ġto                 Ġknow               <eot>               <emp>               <emp>               Ġuh                 Ġmy                 Ġcompany            Ġwas                Ġbought            
Timings          : (5.148, 5.503)      (5.503, 5.858)      (5.858, 5.958)      (5.958, 6.208)      (6.208, 6.298)      (6.298, 6.398)      (6.398, 6.593)      (-1.0, -1.0)        (7.365, 7.439)      (7.439, 8.002)      (8.835, 9.105)      (9.105, 9.315)      (9.315, 9.745)      (9.745, 9.945)      (9.945, 10.564)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      82653961256961      0                   0                   82653961256963      82653961256963      82653961256963      82653961256963      82653961256963     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġokay               Ġi                 
Timings          : (10.564, 10.705)    (10.705, 10.993)    (10.993, 11.531)    (11.811, 12.026)    (12.026, 12.242)    (-1.0, -1.0)        (12.309, 12.783)    (12.783, 12.892)    (12.892, 13.156)    (13.156, 13.363)    (13.363, 13.653)    (13.653, 14.2)      (14.583, 14.812)    (14.812, 15.142)    (15.142, 15.202)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82655571869698      82655571869698      82655571869698      0                   0                   0                   0                   0                   0                   82653424386052      82653424386052      82653424386052     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġby                 Ġanother            Ġcompany            <emp>               Ġand                Ġthe                Ġmajority           Ġof                 Ġus                 Ġwere               Ġlaid               Ġoff                <eot>               <emp>               <emp>              
Timings          : (10.564, 10.705)    (10.705, 10.993)    (10.993, 11.531)    (11.811, 12.026)    (12.13, 12.278)     (12.278, 12.309)    (12.309, 12.783)    (12.783, 12.892)    (12.892, 13.156)    (13.156, 13.363)    (13.363, 13.653)    (13.653, 14.2)      (-1.0, -1.0)        (14.812, 15.142)    (15.142, 15.202)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      82653961256963      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġsee                Ġwhere              Ġthis               Ġis                 Ġgoing              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
