A                : ok                  ay                  Ġuh                 Ġokay               Ġso                 Ġour                Ġsubject            Ġis                 Ġnursing            Ġhomes              Ġum                 Ġdo                 Ġyou                Ġhave               Ġany               
Timings          : (0.309, 0.619)      (0.619, 0.929)      (1.464, 1.993)      (1.993, 2.29)       (2.29, 2.377)       (2.377, 2.493)      (2.493, 2.95)       (2.95, 3.33)        (3.33, 3.72)        (3.72, 4.328)       (5.001, 5.513)      (6.103, 6.163)      (6.163, 6.3)        (6.3, 6.52)         (6.52, 6.929)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.309, 0.619)      (0.619, 0.929)      (1.464, 1.993)      (1.993, 2.29)       (2.29, 2.377)       (2.377, 2.493)      (2.493, 2.95)       (2.95, 3.33)        (3.33, 3.72)        (3.72, 4.328)       (5.001, 5.513)      (6.103, 6.163)      (6.163, 6.3)        (6.3, 6.52)         (6.52, 6.929)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġexperience         Ġor                 Ġany                Ġuh                 Ġopinions           Ġon                 Ġwhat               Ġto                 Ġdo                 Ġi                  Ġdo                 <yield>             <emp>               <emp>               <emp>              
Timings          : (7.472, 8.19)       (8.19, 8.328)       (8.328, 8.903)      (8.903, 9.394)      (9.394, 10.015)     (10.015, 10.472)    (11.154, 11.32)     (11.32, 11.434)     (11.434, 11.698)    (11.875, 11.991)    (11.991, 12.153)    (-1.0, -1.0)        (12.536, 13.004)    (13.004, 13.094)    (13.094, 13.154)   
