A                : have                Ġyou                Ġany                Ġthoughts           <eot>               <emp>               <emp>               <emp>               Ġokay               Ġwell               Ġum                 Ġi                  'll                 Ġtell               Ġyou               
Timings          : (0.278, 0.44)       (0.44, 0.58)        (0.58, 0.74)        (0.74, 1.155)       (-1.0, -1.0)        (2.094, 2.39)       (2.39, 2.875)       (2.875, 3.335)      (3.542, 4.019)      (4.019, 4.329)      (4.779, 5.136)      (5.836, 5.908)      (5.908, 5.979)      (5.979, 6.159)      (6.159, 6.359)     
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82739323731968      82739323731968      82739323731968      82739323731968      82739323731968      0                   0                   0                   82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               well                Ġyou                Ġcalled             Ġhere               Ġso                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.278, 0.44)       (0.44, 0.58)        (0.58, 0.74)        (0.74, 1.155)       (1.911, 2.094)      (2.094, 2.39)       (2.39, 2.875)       (2.875, 3.335)      (3.335, 3.791)      (-1.0, -1.0)        (4.779, 5.136)      (5.836, 5.908)      (5.908, 5.979)      (5.979, 6.159)      (6.159, 6.359)     
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82739860602881      82739860602881      82739860602881      82739860602881      82739860602881      82739860602881      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġam                 Ġuh                 Ġuh                 Ġimpressed          Ġwith               Ġthe                Ġuh                 Ġuh                 Ġamount             Ġof                 Ġspending           Ġthat               's                  Ġoccurred          
Timings          : (6.359, 6.499)      (6.499, 6.969)      (6.969, 7.579)      (7.709, 8.099)      (8.379, 8.88)       (8.88, 9.053)       (9.053, 9.35)       (9.35, 9.796)       (10.04, 10.482)     (10.738, 10.978)    (10.978, 11.045)    (11.045, 11.459)    (11.459, 11.539)    (11.539, 11.619)    (11.619, 11.979)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.359, 6.499)      (6.499, 6.969)      (6.969, 7.579)      (7.709, 8.099)      (8.379, 8.88)       (8.88, 9.053)       (9.053, 9.35)       (9.35, 9.796)       (10.04, 10.482)     (10.738, 10.978)    (10.978, 11.045)    (11.045, 11.459)    (11.459, 11.539)    (11.539, 11.619)    (11.619, 11.979)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġso                 Ġfar                Ġas                 Ġas                 Ġfar                Ġas                 Ġaids               Ġresearch           Ġand                Ġi                  Ġthink              Ġthat               Ġuh                 Ġproportion         ately              
Timings          : (11.979, 12.149)    (12.149, 12.459)    (12.459, 12.671)    (12.81, 12.974)     (12.974, 13.084)    (13.084, 13.289)    (13.289, 13.489)    (13.489, 14.007)    (14.569, 14.759)    (14.759, 14.839)    (14.839, 15.198)    (15.318, 16.109)    (16.109, 16.339)    (16.339, 16.927)    (16.927, 17.516)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.979, 12.149)    (12.149, 12.459)    (12.459, 12.671)    (12.81, 12.974)     (12.974, 13.084)    (13.084, 13.289)    (13.289, 13.489)    (13.489, 14.007)    (14.569, 14.759)    (14.759, 14.839)    (14.839, 15.198)    (15.318, 16.109)    (16.109, 16.339)    (16.339, 16.927)    (16.927, 17.516)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmaybe              Ġuh                 Ġso                 Ġfar                Ġit                 's                  Ġbeen               Ġenough             Ġit                 Ġseems              Ġlike               Ġit                 Ġseems              Ġlike               Ġuh                
Timings          : (18.233, 18.655)    (18.655, 19.36)     (19.36, 19.558)     (19.558, 19.798)    (19.798, 19.868)    (19.868, 19.938)    (19.938, 20.108)    (20.108, 20.468)    (20.468, 20.548)    (20.548, 20.827)    (20.827, 21.13)     (21.361, 21.478)    (21.478, 21.767)    (21.767, 22.017)    (22.017, 22.365)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442      82742544957442     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (18.233, 18.655)    (18.655, 19.36)     (19.36, 19.558)     (19.558, 19.798)    (19.798, 19.868)    (19.868, 19.938)    (19.938, 20.108)    (20.108, 20.468)    (20.468, 20.548)    (20.548, 20.827)    (20.827, 21.13)     (21.361, 21.478)    (21.478, 21.767)    (21.767, 22.017)    (22.017, 22.365)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbut                Ġthere              's                  Ġnot                Ġuh                 Ġbeen               Ġany                Ġmoney              Ġtaken              Ġaway               Ġfrom               Ġuh                 Ġother              Ġnecessary          Ġmedical           
Timings          : (24.137, 24.253)    (24.253, 24.343)    (24.343, 24.433)    (24.433, 24.85)     (25.711, 26.19)     (26.19, 26.353)     (26.353, 26.533)    (26.533, 26.763)    (26.763, 27.083)    (27.083, 27.305)    (27.305, 27.55)     (27.55, 27.832)     (27.832, 28.047)    (28.047, 28.733)    (28.733, 29.123)   
