A                : ok                  ay                  Ġgo                 Ġahead              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.039, 0.084)      (0.084, 0.129)      (0.129, 0.229)      (0.229, 0.429)      (-1.0, -1.0)        (1.144, 1.447)      (1.566, 1.664)      (1.664, 1.884)      (1.884, 1.944)      (1.944, 2.124)      (2.124, 2.574)      (2.574, 3.024)      (3.024, 3.304)      (3.304, 3.559)      (3.559, 3.814)     
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82842402947072      82842402947072      82842402947072      82842402947072      82842402947072      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               well                Ġuh                 Ġa                  Ġfriend             Ġof                 Ġmine               Ġactually           Ġworks              Ġfor                Ġmc                 donald             
Timings          : (0.039, 0.084)      (0.084, 0.129)      (0.129, 0.229)      (0.229, 0.429)      (0.704, 1.144)      (1.144, 1.447)      (1.566, 1.664)      (1.664, 1.884)      (1.884, 1.944)      (1.944, 2.124)      (2.124, 2.574)      (2.574, 3.024)      (3.024, 3.304)      (3.304, 3.559)      (3.559, 3.814)     
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               oh                  <ebc>               <emp>               <emp>               <emp>              
Timings          : (3.814, 4.034)      (4.034, 4.254)      (4.334, 4.57)       (4.57, 4.747)       (4.747, 4.974)      (5.184, 5.284)      (5.284, 5.344)      (5.344, 5.664)      (5.664, 6.064)      (6.064, 6.604)      (6.674, 6.938)      (-1.0, -1.0)        (7.364, 7.544)      (7.544, 7.604)      (7.604, 7.854)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82844550430721      82844550430721      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : Ġdou                glas                Ġin                 Ġthe                Ġuh                 Ġin                 Ġthe                Ġspace              Ġstation            Ġprogram            Ġso                 Ġi                  Ġget                Ġto                 Ġfind              
Timings          : (3.814, 4.034)      (4.034, 4.254)      (4.334, 4.57)       (4.57, 4.747)       (4.747, 4.974)      (5.184, 5.284)      (5.284, 5.344)      (5.344, 5.664)      (5.664, 6.064)      (6.064, 6.604)      (6.604, 6.984)      (7.301, 7.364)      (7.364, 7.544)      (7.544, 7.604)      (7.604, 7.854)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               sure               
Timings          : (7.854, 7.974)      (7.974, 8.014)      (8.014, 8.184)      (8.184, 8.264)      (8.264, 8.724)      (8.724, 8.924)      (8.924, 9.014)      (9.014, 9.104)      (9.104, 9.374)      (9.374, 9.524)      (9.524, 9.774)      (9.774, 9.864)      (9.864, 9.974)      (9.974, 10.134)     (10.069, 10.299)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82846697914370     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġout                Ġa                  Ġlot                Ġof                 Ġinformation        Ġabout              Ġwhat               's                  Ġgoing              Ġon                 Ġthere              Ġand                Ġit                 Ġsure               Ġsounds            
Timings          : (7.854, 7.974)      (7.974, 8.014)      (8.014, 8.184)      (8.184, 8.264)      (8.264, 8.724)      (8.724, 8.924)      (8.924, 9.014)      (9.014, 9.104)      (9.104, 9.374)      (9.374, 9.524)      (9.524, 9.774)      (9.774, 9.864)      (9.864, 9.974)      (9.974, 10.134)     (10.134, 10.444)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (11.36, 11.49)      (11.49, 11.62)      (11.62, 11.86)      (11.86, 11.95)      (11.95, 12.09)      (12.09, 12.16)      (12.16, 12.36)      (12.36, 12.83)      (12.83, 13.26)      (13.26, 13.36)      (13.36, 13.47)      (13.47, 13.94)      (13.94, 14.04)      (14.04, 14.15)     
Token Types      : 5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82846697914370      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġthat               's                  Ġgoing              Ġto                 Ġbe                 Ġa                  Ġreally             Ġviable             Ġprogram            Ġif                 Ġit                 Ġcontinues          Ġto                 Ġbe                
Timings          : (10.444, 10.804)    (11.36, 11.49)      (11.49, 11.62)      (11.62, 11.86)      (11.86, 11.95)      (11.95, 12.09)      (12.09, 12.16)      (12.16, 12.36)      (12.36, 12.83)      (12.83, 13.26)      (13.26, 13.36)      (13.36, 13.47)      (13.47, 13.94)      (13.94, 14.04)      (14.04, 14.15)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
