A                : i                   Ġthink              Ġthat               Ġthe                Ġmiddle             Ġeast               Ġis                 Ġof                 Ġall                Ġthe                Ġuh                 Ġregions            Ġof                 Ġthe                Ġworld             
Timings          : (0.03, 0.257)       (0.257, 0.479)      (0.553, 0.69)       (0.77, 0.83)        (0.83, 1.09)        (1.09, 1.42)        (1.42, 1.85)        (1.85, 1.991)       (1.991, 2.277)      (2.277, 2.549)      (2.549, 2.832)      (2.832, 3.24)       (3.24, 3.32)        (3.32, 3.38)        (3.38, 3.82)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.03, 0.257)       (0.257, 0.479)      (0.553, 0.69)       (0.77, 0.83)        (0.83, 1.09)        (1.09, 1.42)        (1.42, 1.85)        (1.85, 1.991)       (1.991, 2.277)      (2.277, 2.549)      (2.549, 2.832)      (2.832, 3.24)       (3.24, 3.32)        (3.32, 3.38)        (3.38, 3.82)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġmost               Ġvolatile           Ġthat               Ġwe                 Ġseem               Ġto                 Ġbe                 Ġgetting            Ġourselves          Ġinvolved           Ġin                 Ġand                Ġuh                 Ġi                 
Timings          : (3.82, 3.88)        (3.88, 4.18)        (4.18, 4.79)        (4.79, 4.93)        (4.93, 5.12)        (5.12, 5.38)        (5.38, 5.46)        (5.46, 5.65)        (5.65, 5.93)        (5.93, 6.43)        (6.43, 7.07)        (7.07, 7.39)        (8.481, 9.191)      (9.191, 9.628)      (10.564, 10.716)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.82, 3.88)        (3.88, 4.18)        (4.18, 4.79)        (4.79, 4.93)        (4.93, 5.12)        (5.12, 5.38)        (5.38, 5.46)        (5.46, 5.65)        (5.65, 5.93)        (5.93, 6.43)        (6.43, 7.07)        (7.07, 7.39)        (8.481, 9.191)      (9.191, 9.628)      (10.564, 10.716)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 'm                  Ġnot                Ġsure               Ġwe                 're                 Ġdoing              Ġso                 Ġwith               Ġsufficient         Ġknowledge          Ġabout              Ġthe                Ġhistory            Ġof                 Ġthe               
Timings          : (10.716, 10.868)    (10.868, 11.106)    (11.106, 11.396)    (11.396, 11.496)    (11.496, 11.596)    (11.596, 12.026)    (12.026, 12.639)    (12.639, 12.952)    (14.006, 14.666)    (14.666, 15.216)    (15.216, 15.566)    (15.566, 15.666)    (15.666, 16.096)    (16.096, 16.206)    (16.206, 16.276)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.716, 10.868)    (10.868, 11.106)    (11.106, 11.396)    (11.396, 11.496)    (11.496, 11.596)    (11.596, 12.026)    (12.026, 12.639)    (12.639, 12.952)    (14.006, 14.666)    (14.666, 15.216)    (15.216, 15.566)    (15.566, 15.666)    (15.666, 16.096)    (16.096, 16.206)    (16.206, 16.276)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġarea               Ġand                Ġum                 Ġwith               Ġwhat               Ġuh                 Ġthe                Ġpeople             Ġthere              Ġexpect             Ġi                  Ġthink              Ġwe                 're                 Ġjust              
Timings          : (16.276, 16.919)    (16.919, 17.746)    (17.746, 18.133)    (18.528, 18.766)    (18.766, 19.127)    (19.779, 19.936)    (19.936, 20.046)    (20.046, 20.456)    (20.456, 20.706)    (20.706, 21.406)    (21.865, 21.975)    (21.975, 22.136)    (22.136, 22.181)    (22.181, 22.226)    (22.226, 22.416)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.276, 16.919)    (16.919, 17.746)    (17.746, 18.133)    (18.528, 18.766)    (18.766, 19.127)    (19.779, 19.936)    (19.936, 20.046)    (20.046, 20.456)    (20.456, 20.706)    (20.706, 21.406)    (21.865, 21.975)    (21.975, 22.136)    (22.136, 22.181)    (22.181, 22.226)    (22.226, 22.416)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgetting            Ġourselves          Ġinto               Ġa                  Ġbarrel             Ġof                 Ġtrouble            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (22.416, 22.686)    (22.686, 23.096)    (23.096, 23.326)    (23.326, 23.386)    (23.386, 23.816)    (23.816, 23.916)    (23.916, 24.534)    (-1.0, -1.0)        (25.847, 25.969)    (25.969, 26.071)    (26.071, 26.267)    (26.267, 26.378)    (26.378, 26.448)    (26.448, 26.608)    (26.608, 26.688)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      82859582816256      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                Ġwell               Ġi                  Ġthink              Ġwe                 Ġmay                Ġhave               Ġthe               
