A                : ok                  ay                  Ġi                  'm                  Ġhere               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġthe                Ġpublic             Ġschools            <eot>               <emp>              
Timings          : (6.203, 6.387)      (6.387, 6.571)      (6.571, 6.641)      (6.641, 6.711)      (6.711, 6.96)       (7.615, 7.791)      (7.791, 7.881)      (7.881, 7.951)      (7.951, 8.161)      (8.161, 8.391)      (8.391, 8.451)      (8.451, 8.751)      (8.751, 9.307)      (-1.0, -1.0)        (11.628, 11.9)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      82911122423808      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġour               
Timings          : (6.203, 6.387)      (6.387, 6.571)      (6.571, 6.641)      (6.641, 6.711)      (6.711, 6.96)       (7.615, 7.791)      (7.791, 7.881)      (7.881, 7.951)      (7.951, 8.161)      (8.161, 8.391)      (8.391, 8.451)      (8.451, 8.751)      (8.751, 9.307)      (10.073, 10.504)    (11.628, 11.9)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82911659294721      82911659294721     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>              
Timings          : (11.9, 12.37)       (12.37, 12.85)      (12.85, 13.062)     (13.224, 13.567)    (14.256, 14.5)      (14.5, 14.89)       (14.89, 15.039)     (15.039, 15.384)    (15.561, 15.673)    (15.673, 15.785)    (15.785, 15.896)    (-1.0, -1.0)        (17.277, 17.348)    (17.348, 17.419)    (17.419, 17.669)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82913269907457      82913269907457      82913269907457      82913269907457      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġpublic             Ġschools            Ġare                Ġare                Ġreally             Ġpoor               Ġi                  Ġfeel               <emp>               <emp>               <emp>               Ġum                 Ġi                  'm                  Ġnot               
Timings          : (11.9, 12.37)       (12.37, 12.85)      (12.85, 13.062)     (13.224, 13.567)    (14.256, 14.5)      (14.5, 14.89)       (14.89, 15.039)     (15.039, 15.384)    (15.561, 15.673)    (15.673, 15.785)    (15.785, 15.896)    (15.961, 16.299)    (17.277, 17.348)    (17.348, 17.419)    (17.419, 17.669)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.669, 18.043)    (18.043, 18.388)    (18.572, 18.714)    (18.714, 18.857)    (18.857, 18.999)    (18.999, 19.664)    (19.664, 19.789)    (19.789, 19.869)    (19.869, 20.399)    (20.587, 20.909)    (20.909, 21.154)    (21.44, 21.499)     (21.499, 21.559)    (21.559, 21.929)    (21.929, 21.999)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsure               Ġwhere              Ġge                 org                 ia                  Ġranks              Ġin                 Ġthe                Ġnation             Ġbut                Ġuh                 Ġwe                 're                 Ġtoward             Ġthe               
Timings          : (17.669, 18.043)    (18.043, 18.388)    (18.572, 18.714)    (18.714, 18.857)    (18.857, 18.999)    (18.999, 19.664)    (19.664, 19.789)    (19.789, 19.869)    (19.869, 20.399)    (20.587, 20.909)    (20.909, 21.154)    (21.44, 21.499)     (21.499, 21.559)    (21.559, 21.929)    (21.929, 21.999)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.999, 22.472)    (22.8, 23.031)      (-1.0, -1.0)        (24.093, 24.359)    (24.642, 24.792)    (24.792, 24.943)    (24.943, 25.013)    (25.013, 25.273)    (25.273, 25.373)    (25.373, 25.753)    (25.753, 25.863)    (25.863, 25.978)    (26.143, 26.472)    (27.718, 27.865)    (27.865, 27.995)   
