A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġdo                 Ġyou                Ġwant               Ġto                 Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.39, 0.872)       (0.872, 1.004)      (1.004, 1.072)      (1.072, 1.141)      (1.141, 1.27)       (1.27, 1.35)        (1.35, 1.43)        (1.43, 1.592)       (1.592, 1.723)      (1.723, 1.974)      (-1.0, -1.0)        (3.467, 3.567)      (3.567, 3.745)      (3.745, 3.922)      (3.922, 4.352)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      83014201638912      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhaven              't                  Ġuh                
Timings          : (0.39, 0.872)       (0.872, 1.004)      (1.004, 1.072)      (1.072, 1.141)      (1.141, 1.27)       (1.27, 1.35)        (1.35, 1.43)        (1.43, 1.592)       (1.592, 1.723)      (1.723, 1.974)      (3.16, 3.467)       (3.467, 3.567)      (3.567, 3.745)      (3.745, 3.922)      (3.922, 4.352)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83014738509825      83014738509825      83014738509825      83014738509825      83014738509825     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.656, 4.776)      (4.776, 4.921)      (4.921, 5.067)      (5.067, 5.257)      (5.257, 5.317)      (5.317, 5.537)      (5.537, 5.798)      (6.375, 6.782)      (6.782, 7.187)      (7.187, 7.657)      (7.657, 7.897)      (7.897, 8.177)      (8.177, 8.292)      (8.292, 8.407)      (8.407, 8.629)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġhaven              't                  Ġthought            Ġa                  Ġlot                Ġabout              Ġgovernment         Ġgovernment         Ġuniversal          Ġhealth             Ġcare               Ġi                  've                 Ġuh                
Timings          : (4.656, 4.776)      (4.776, 4.921)      (4.921, 5.067)      (5.067, 5.257)      (5.257, 5.317)      (5.317, 5.537)      (5.537, 5.798)      (6.375, 6.782)      (6.782, 7.187)      (7.187, 7.657)      (7.657, 7.897)      (7.897, 8.177)      (8.177, 8.292)      (8.292, 8.407)      (8.407, 8.629)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (9.327, 9.846)      (10.42, 10.708)     (10.708, 11.064)    (11.064, 11.317)    (11.968, 12.059)    (12.059, 12.223)    (12.223, 12.501)    (12.501, 12.801)    (12.801, 13.065)    (13.453, 13.563)    (13.563, 14.141)    (14.141, 14.581)    (14.581, 14.861)    (14.861, 15.441)    (15.441, 15.751)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġworked             Ġfor                Ġa                  Ġyou                Ġknow               Ġprivate            Ġcompany            Ġthat               Ġthat               Ġprovides           Ġuh                 Ġhealth             Ġinsurance          Ġalthough          
Timings          : (9.327, 9.846)      (10.42, 10.708)     (10.708, 11.064)    (11.064, 11.317)    (11.968, 12.059)    (12.059, 12.223)    (12.223, 12.501)    (12.501, 12.801)    (12.801, 13.065)    (13.453, 13.563)    (13.563, 14.141)    (14.141, 14.581)    (14.581, 14.861)    (14.861, 15.441)    (15.441, 15.751)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (15.751, 15.913)    (16.169, 16.333)    (16.333, 16.592)    (16.813, 16.867)    (16.867, 16.921)    (17.098, 17.312)    (17.312, 17.527)    (18.269, 18.44)     (18.676, 18.996)    (18.996, 19.155)    (19.411, 19.795)    (19.795, 20.653)    (20.845, 21.256)    (21.256, 21.616)    (21.616, 21.993)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġyou                Ġknow               Ġthey               're                 Ġthey               're                 Ġlike               Ġmany               Ġare                Ġare                Ġincreasingly       Ġworking            Ġon                 Ġuh                
Timings          : (15.751, 15.913)    (16.169, 16.333)    (16.333, 16.592)    (16.813, 16.867)    (16.867, 16.921)    (17.098, 17.312)    (17.312, 17.527)    (18.269, 18.44)     (18.676, 18.996)    (18.996, 19.155)    (19.411, 19.795)    (19.795, 20.653)    (20.845, 21.256)    (21.256, 21.616)    (21.616, 21.993)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
