A                : the                 Ġbiggest            Ġsocial             Ġchange             Ġthat               Ġi                  've                 Ġseen               Ġin                 Ġthe                Ġlast               Ġten                Ġyears              Ġis                 Ġthat              
Timings          : (0.013, 0.023)      (0.023, 0.35)       (0.35, 0.68)        (0.68, 1.07)        (1.07, 1.18)        (1.18, 1.27)        (1.27, 1.36)        (1.36, 1.65)        (1.65, 1.73)        (1.73, 1.81)        (1.81, 2.23)        (2.23, 2.49)        (2.49, 2.92)        (3.994, 4.273)      (4.273, 4.557)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.013, 0.023)      (0.023, 0.35)       (0.35, 0.68)        (0.68, 1.07)        (1.07, 1.18)        (1.18, 1.27)        (1.27, 1.36)        (1.36, 1.65)        (1.65, 1.73)        (1.73, 1.81)        (1.81, 2.23)        (2.23, 2.49)        (2.49, 2.92)        (3.994, 4.273)      (4.273, 4.557)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġyou                Ġknow               Ġi                  'm                  Ġonly               Ġtwenty             Ġfour               Ġtwenty             Ġfive               Ġright              Ġjust               Ġturned             Ġtwenty             Ġfive              
Timings          : (4.695, 4.793)      (4.793, 5.014)      (5.014, 5.163)      (5.163, 5.214)      (5.214, 5.264)      (5.264, 5.463)      (5.463, 5.753)      (5.753, 6.054)      (6.054, 6.344)      (6.344, 6.659)      (6.659, 7.284)      (7.284, 7.464)      (7.464, 7.694)      (7.694, 7.973)      (7.973, 8.475)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.695, 4.793)      (4.793, 5.014)      (5.014, 5.163)      (5.163, 5.214)      (5.214, 5.264)      (5.264, 5.463)      (5.463, 5.753)      (5.753, 6.054)      (6.054, 6.344)      (6.344, 6.659)      (6.659, 7.284)      (7.284, 7.464)      (7.464, 7.694)      (7.694, 7.973)      (7.973, 8.475)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġten                Ġyears              Ġago                Ġi                  Ġcan                Ġremember           Ġwhen               Ġit                 Ġwas                Ġnot                Ġcommon             Ġto                 Ġsee                Ġtwo               
Timings          : (8.475, 9.33)       (9.33, 9.623)       (9.623, 9.913)      (9.913, 10.433)     (10.655, 10.863)    (10.863, 11.144)    (11.144, 11.594)    (11.594, 12.184)    (12.406, 12.564)    (12.564, 12.884)    (12.884, 13.36)     (13.676, 14.219)    (14.219, 14.333)    (14.333, 14.583)    (14.583, 14.823)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (8.475, 9.33)       (9.33, 9.623)       (9.623, 9.913)      (9.913, 10.433)     (10.655, 10.863)    (10.863, 11.144)    (11.144, 11.594)    (11.594, 12.184)    (12.406, 12.564)    (12.564, 12.884)    (12.884, 13.36)     (13.676, 14.219)    (14.219, 14.333)    (14.333, 14.583)    (14.583, 14.823)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpeople             Ġin                 Ġa                  Ġfamily             Ġor                 Ġhousehold          Ġworking            Ġand                Ġgetting            Ġbehind             Ġand                Ġuh                 Ġrunning            Ġinto               Ġeconomic          
Timings          : (14.823, 15.402)    (15.402, 15.583)    (15.583, 15.634)    (15.634, 16.063)    (16.063, 16.174)    (16.174, 16.614)    (16.614, 17.163)    (18.024, 18.452)    (18.452, 18.772)    (18.772, 19.561)    (20.039, 20.674)    (20.674, 21.276)    (21.276, 21.612)    (21.612, 22.25)     (22.672, 23.272)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
