A                : i                   Ġguess              Ġi                  Ġguess              Ġby                 Ġwhat               Ġyou                Ġsaid               Ġyou                're                 Ġyou                Ġyou                Ġdon                't                  Ġfeel              
Timings          : (0.616, 0.733)      (0.733, 1.045)      (1.136, 1.26)       (1.26, 1.48)        (1.48, 1.65)        (1.65, 1.82)        (1.82, 1.92)        (1.92, 2.19)        (2.19, 2.349)       (2.349, 2.508)      (2.606, 2.86)       (2.86, 2.96)        (2.96, 3.06)        (3.06, 3.16)        (3.16, 3.36)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.616, 0.733)      (0.733, 1.045)      (1.136, 1.26)       (1.26, 1.48)        (1.48, 1.65)        (1.65, 1.82)        (1.82, 1.92)        (1.92, 2.19)        (2.19, 2.349)       (2.349, 2.508)      (2.606, 2.86)       (2.86, 2.96)        (2.96, 3.06)        (3.06, 3.16)        (3.16, 3.36)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                're                 Ġuh                 Ġprivacy            Ġhas                Ġbeen               Ġinvaded            Ġinvaded            Ġanytime            Ġrecently           <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.36, 3.535)       (3.535, 3.71)       (3.71, 3.96)        (3.96, 4.42)        (4.42, 4.57)        (4.57, 4.75)        (4.75, 5.102)       (5.181, 5.73)       (5.73, 6.17)        (6.17, 6.604)       (-1.0, -1.0)        (7.794, 7.997)      (7.997, 8.616)      (8.616, 9.051)      (10.33, 10.499)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      83048561377280      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               no                  Ġnot                Ġreally             Ġum                 Ġuh                
Timings          : (3.36, 3.535)       (3.535, 3.71)       (3.71, 3.96)        (3.96, 4.42)        (4.42, 4.57)        (4.57, 4.75)        (4.75, 5.102)       (5.181, 5.73)       (5.73, 6.17)        (6.17, 6.604)       (7.417, 7.794)      (7.794, 7.997)      (7.997, 8.616)      (8.616, 9.051)      (10.33, 10.499)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83049098248193      83049098248193      83049098248193      83049098248193      83049098248193     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.994, 11.169)    (11.169, 11.696)    (13.616, 13.828)    (13.828, 13.935)    (13.935, 14.199)    (14.241, 14.445)    (14.445, 14.695)    (14.695, 14.954)    (14.954, 15.212)    (15.212, 15.341)    (15.341, 15.646)    (15.646, 15.983)    (16.183, 16.642)    (16.966, 17.405)    (17.405, 17.875)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
