A                : well                Ġwhat               's                  Ġyour               Ġopinion            Ġon                 Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.705, 1.109)      (1.109, 1.204)      (1.204, 1.299)      (1.299, 1.409)      (1.409, 1.799)      (1.799, 1.989)      (1.989, 2.369)      (2.369, 2.955)      (-1.0, -1.0)        (5.175, 5.613)      (8.212, 8.67)       (8.67, 9.131)       (9.455, 9.62)       (9.62, 9.94)        (9.94, 10.08)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246464      83065741246464      83065741246464      83065741246464      83065741246464      83065741246464      83065741246464      83065741246464      83065741246464      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġuh                 Ġi                  Ġuh                 Ġi                  Ġagree              Ġwith              
Timings          : (0.705, 1.109)      (1.109, 1.204)      (1.204, 1.299)      (1.299, 1.409)      (1.409, 1.799)      (1.799, 1.989)      (1.989, 2.369)      (2.369, 2.955)      (4.47, 4.98)        (5.175, 5.613)      (8.212, 8.67)       (8.67, 9.131)       (9.455, 9.62)       (9.62, 9.94)        (9.94, 10.08)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.08, 10.243)     (10.887, 11.07)     (11.07, 11.35)      (11.35, 11.53)      (11.53, 11.874)     (13.42, 13.56)      (13.56, 13.8)       (13.8, 13.9)        (13.9, 14.04)       (14.04, 14.18)      (14.18, 14.62)      (16.031, 16.411)    (16.411, 16.871)    (16.871, 17.041)    (17.041, 17.101)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġas                 Ġlong               Ġas                 Ġuh                 Ġas                 Ġlong               Ġas                 Ġthere              's                  Ġno                 Ġno                 Ġshadow             Ġof                 Ġa                 
Timings          : (10.08, 10.243)     (10.887, 11.07)     (11.07, 11.35)      (11.35, 11.53)      (11.53, 11.874)     (13.42, 13.56)      (13.56, 13.8)       (13.8, 13.9)        (13.9, 14.04)       (14.04, 14.18)      (14.18, 14.62)      (16.031, 16.411)    (16.411, 16.871)    (16.871, 17.041)    (17.041, 17.101)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      83066278117377     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġright              Ġi                  Ġagree              Ġwith               Ġthat               Ġtoo                Ġi                  Ġuh                 Ġthis               Ġthis               Ġis                 Ġprobably          
Timings          : (17.101, 17.503)    (17.684, 17.961)    (17.961, 18.426)    (19.666, 19.98)     (20.165, 20.436)    (20.436, 20.686)    (20.686, 20.816)    (20.816, 21.156)    (21.156, 21.426)    (21.426, 21.848)    (21.848, 22.421)    (22.421, 22.607)    (22.607, 22.846)    (22.846, 22.936)    (22.936, 23.236)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġdoubt              Ġof                 Ġguilt              Ġuh                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.101, 17.503)    (17.684, 17.961)    (17.961, 18.426)    (19.601, 19.84)     (-1.0, -1.0)        (20.436, 20.686)    (20.686, 20.816)    (20.816, 21.156)    (21.156, 21.426)    (21.426, 21.848)    (21.848, 22.421)    (22.421, 22.607)    (22.607, 22.846)    (22.846, 22.936)    (22.936, 23.236)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83066278117377      83066278117377      83066278117377      83066278117377      83066278117377      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgoing              Ġto                 Ġbe                 Ġnot                Ġa                  Ġbig                Ġdebate             Ġor                 Ġanything           Ġuh                 Ġi                  Ġam                 Ġfor                Ġcapital            Ġcu                
Timings          : (23.236, 23.436)    (23.436, 23.496)    (23.496, 23.802)    (24.19, 24.416)     (24.416, 24.486)    (24.486, 24.646)    (24.646, 25.026)    (25.026, 25.166)    (25.166, 25.653)    (26.855, 27.296)    (27.697, 28.191)    (28.191, 28.642)    (28.796, 29.007)    (29.007, 29.437)    (29.437, 29.502)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (23.236, 23.436)    (23.436, 23.496)    (23.496, 23.802)    (24.19, 24.416)     (24.416, 24.486)    (24.486, 24.646)    (24.646, 25.026)    (25.026, 25.166)    (25.166, 25.653)    (26.855, 27.296)    (27.697, 28.191)    (28.191, 28.642)    (28.796, 29.007)    (29.007, 29.437)    (29.437, 29.502)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : /                   pun                 ishment             Ġpunishment         Ġonly               Ġfor                Ġmurder             Ġi                  Ġmean               Ġyou                Ġknow               Ġi                  Ġthink              Ġthey               Ġasked             
Timings          : (29.502, 29.567)    (29.567, 29.632)    (29.632, 29.697)    (29.697, 30.347)    (30.644, 30.887)    (30.887, 31.074)    (31.074, 31.588)    (31.588, 31.727)    (31.727, 31.867)    (31.867, 31.937)    (31.937, 32.037)    (32.037, 32.107)    (32.107, 32.317)    (32.317, 32.447)    (32.447, 32.717)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.502, 29.567)    (29.567, 29.632)    (29.632, 29.697)    (29.697, 30.347)    (30.644, 30.887)    (30.887, 31.074)    (31.074, 31.588)    (31.588, 31.727)    (31.727, 31.867)    (31.867, 31.937)    (31.937, 32.037)    (32.037, 32.107)    (32.107, 32.317)    (32.317, 32.447)    (32.447, 32.717)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġthe                Ġrecording          <emp>               Ġuh                 Ġwhat               Ġin                 Ġin                 Ġwhat               Ġcrimes             Ġbut                Ġonly               Ġif                 Ġsomeone            Ġhas               
Timings          : (32.717, 32.817)    (32.817, 32.947)    (32.947, 33.487)    (33.935, 34.067)    (34.037, 34.383)    (34.636, 34.825)    (34.825, 35.081)    (35.081, 35.491)    (35.687, 35.887)    (35.887, 36.367)    (36.367, 36.537)    (36.537, 37.059)    (37.912, 38.023)    (38.023, 38.293)    (38.293, 38.403)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.717, 32.817)    (32.817, 32.947)    (32.947, 33.487)    (33.935, 34.067)    (34.067, 34.199)    (-1.0, -1.0)        (34.825, 35.081)    (35.081, 35.491)    (35.687, 35.887)    (35.887, 36.367)    (36.367, 36.537)    (36.537, 37.059)    (37.912, 38.023)    (38.023, 38.293)    (38.293, 38.403)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83068425601025      83068425601025      83068425601025      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmurdered           Ġsomeone            Ġyou                Ġknow               Ġthat               's                  Ġabout              Ġthe                Ġonly               Ġthing              Ġbut                Ġuh                 Ġhow                Ġis                 Ġge                
Timings          : (38.403, 38.803)    (38.803, 39.213)    (39.213, 39.303)    (39.303, 39.443)    (39.443, 39.548)    (39.548, 39.653)    (39.653, 39.853)    (39.853, 40.023)    (40.023, 40.193)    (40.193, 40.536)    (41.233, 41.673)    (41.673, 41.969)    (42.221, 42.443)    (42.443, 42.723)    (42.723, 42.938)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.403, 38.803)    (38.803, 39.213)    (39.213, 39.303)    (39.303, 39.443)    (39.443, 39.548)    (39.548, 39.653)    (39.653, 39.853)    (39.853, 40.023)    (40.023, 40.193)    (40.193, 40.536)    (41.233, 41.673)    (41.673, 41.969)    (42.221, 42.443)    (42.443, 42.723)    (42.723, 42.938)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : org                 ia                  Ġfor                Ġuh                 Ġcapital            Ġpunishment         Ġare                Ġthey               Ġexecuting          Ġpeople             Ġor                 <eot>               <emp>               <emp>               <emp>              
Timings          : (42.938, 43.154)    (43.154, 43.369)    (43.659, 44.174)    (44.825, 45.382)    (45.846, 46.203)    (46.203, 46.673)    (46.673, 46.783)    (46.783, 47.136)    (47.546, 48.113)    (48.113, 48.563)    (48.563, 48.877)    (-1.0, -1.0)        (49.946, 50.435)    (50.793, 51.172)    (51.172, 51.533)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      83065741246466      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġyeah               Ġyeah               Ġum                
Timings          : (42.938, 43.154)    (43.154, 43.369)    (43.659, 44.174)    (44.825, 45.382)    (45.846, 46.203)    (46.203, 46.673)    (46.673, 46.783)    (46.783, 47.136)    (47.546, 48.113)    (48.113, 48.563)    (48.563, 48.877)    (49.335, 49.946)    (49.946, 50.435)    (50.793, 51.172)    (51.172, 51.533)   
