A                : um                  Ġin                 Ġtex                as                  Ġthey               Ġdo                 Ġhave               Ġthe                Ġum                 Ġcapital            Ġpunishment         Ġand                Ġum                 Ġi                  Ġi                 
Timings          : (0.494, 0.928)      (2.2, 2.319)        (2.319, 2.569)      (2.569, 2.819)      (2.819, 2.969)      (2.969, 3.239)      (3.239, 3.834)      (4.5, 4.736)        (4.736, 5.017)      (5.348, 5.699)      (5.699, 6.359)      (6.359, 6.699)      (6.699, 6.973)      (7.975, 8.145)      (8.145, 8.354)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.494, 0.928)      (2.2, 2.319)        (2.319, 2.569)      (2.569, 2.819)      (2.819, 2.969)      (2.969, 3.239)      (3.239, 3.834)      (4.5, 4.736)        (4.736, 5.017)      (5.348, 5.699)      (5.699, 6.359)      (6.359, 6.699)      (6.699, 6.973)      (7.975, 8.145)      (8.145, 8.354)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġi                  Ġi                  'm                  Ġprobably           Ġone                Ġthat               Ġhas                Ġto                 Ġagree              Ġwith               Ġit                 Ġtoo                Ġum                 Ġthere             
Timings          : (8.354, 8.591)      (8.591, 8.955)      (8.955, 9.062)      (9.062, 9.168)      (9.168, 9.648)      (9.648, 9.918)      (9.918, 10.058)     (10.058, 10.308)    (10.308, 10.478)    (10.478, 10.778)    (10.778, 10.998)    (10.998, 11.138)    (11.138, 11.532)    (12.148, 12.562)    (13.575, 13.741)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (8.354, 8.591)      (8.591, 8.955)      (8.955, 9.062)      (9.062, 9.168)      (9.168, 9.648)      (9.648, 9.918)      (9.918, 10.058)     (10.058, 10.308)    (10.308, 10.478)    (10.478, 10.778)    (10.778, 10.998)    (10.998, 11.138)    (11.138, 11.532)    (12.148, 12.562)    (13.575, 13.741)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
