A                : budget              ing                 Ġactivity           Ġin                 Ġour                Ġhousehold          Ġi                  Ġhas                Ġis                 Ġuh                 Ġuh                 Ġkind               Ġof                 Ġan                 Ġinformal          
Timings          : (0.131, 0.331)      (0.331, 0.53)       (0.53, 1.19)        (1.19, 1.34)        (1.34, 1.59)        (1.59, 2.192)       (2.192, 2.357)      (2.357, 2.868)      (2.868, 3.261)      (3.261, 3.463)      (4.19, 4.429)       (4.429, 4.638)      (4.638, 4.738)      (4.738, 4.945)      (4.945, 5.769)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.131, 0.331)      (0.331, 0.53)       (0.53, 1.19)        (1.19, 1.34)        (1.34, 1.59)        (1.59, 2.192)       (2.192, 2.357)      (2.357, 2.868)      (2.868, 3.261)      (3.261, 3.463)      (4.19, 4.429)       (4.429, 4.638)      (4.638, 4.738)      (4.738, 4.945)      (4.945, 5.769)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkind               Ġof                 Ġsituation          Ġwe                 Ġwe                 Ġyou                Ġknow               Ġput                Ġactually           Ġwhat               Ġhappens            Ġis                 Ġuh                 Ġis                 Ġmy                
Timings          : (5.969, 6.118)      (6.118, 6.218)      (6.218, 6.948)      (6.948, 7.26)       (7.26, 7.422)       (7.607, 7.728)      (7.728, 7.873)      (8.178, 8.475)      (8.475, 8.978)      (8.978, 9.158)      (9.158, 9.598)      (9.598, 9.758)      (9.758, 9.925)      (10.294, 10.418)    (10.418, 10.608)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.969, 6.118)      (6.118, 6.218)      (6.218, 6.948)      (6.948, 7.26)       (7.26, 7.422)       (7.607, 7.728)      (7.728, 7.873)      (8.178, 8.475)      (8.475, 8.978)      (8.978, 9.158)      (9.158, 9.598)      (9.598, 9.758)      (9.758, 9.925)      (10.294, 10.418)    (10.418, 10.608)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcheck              Ġgets               Ġautomatically      Ġdeposited          Ġi                  Ġdon                't                  Ġeven               Ġhave               Ġthe                Ġgl                 ories               Ġof                 Ġbringing           Ġhome              
Timings          : (10.608, 10.878)    (10.878, 11.098)    (11.098, 11.698)    (11.698, 12.34)     (12.728, 12.813)    (12.813, 12.896)    (12.896, 12.978)    (12.978, 13.128)    (13.128, 13.358)    (13.358, 13.418)    (13.418, 13.638)    (13.638, 13.858)    (13.858, 13.948)    (13.948, 14.218)    (14.218, 14.378)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.608, 10.878)    (10.878, 11.098)    (11.098, 11.698)    (11.698, 12.34)     (12.728, 12.813)    (12.813, 12.896)    (12.896, 12.978)    (12.978, 13.128)    (13.128, 13.358)    (13.358, 13.418)    (13.418, 13.638)    (13.638, 13.858)    (13.858, 13.948)    (13.948, 14.218)    (14.218, 14.378)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmy                 Ġcheck              Ġanymore            Ġit                 Ġjust               Ġgets               Ġdeposited          Ġand                Ġand                Ġand                Ġand                Ġand                Ġand                Ġmy                 Ġmy                
Timings          : (14.378, 14.548)    (14.548, 14.778)    (14.778, 15.088)    (15.088, 15.148)    (15.148, 15.318)    (15.318, 15.518)    (15.518, 16.09)     (17.116, 17.233)    (17.356, 17.563)    (17.981, 18.189)    (18.189, 18.407)    (18.407, 18.62)     (18.62, 18.763)     (18.763, 18.966)    (18.966, 19.338)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (14.378, 14.548)    (14.548, 14.778)    (14.778, 15.088)    (15.088, 15.148)    (15.148, 15.318)    (15.318, 15.518)    (15.518, 16.09)     (17.116, 17.233)    (17.356, 17.563)    (17.981, 18.189)    (18.189, 18.407)    (18.407, 18.62)     (18.62, 18.763)     (18.763, 18.966)    (18.966, 19.338)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwife               Ġyou                Ġknow               Ġyou                Ġknow               Ġlooks              Ġat                 Ġall                Ġthose              Ġbills              Ġthat               Ġcome               Ġin                 Ġand                Ġyou               
Timings          : (19.338, 19.816)    (19.816, 19.936)    (19.936, 20.141)    (20.331, 20.396)    (20.396, 20.595)    (20.595, 20.876)    (20.876, 20.966)    (20.966, 21.209)    (21.209, 21.529)    (21.959, 22.246)    (22.246, 22.366)    (22.366, 22.546)    (22.546, 22.766)    (23.354, 23.816)    (23.816, 23.936)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (19.338, 19.816)    (19.816, 19.936)    (19.936, 20.141)    (20.331, 20.396)    (20.396, 20.595)    (20.595, 20.876)    (20.876, 20.966)    (20.966, 21.209)    (21.209, 21.529)    (21.959, 22.246)    (22.246, 22.366)    (22.366, 22.546)    (22.546, 22.766)    (23.354, 23.816)    (23.816, 23.936)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġand                Ġall                Ġthose              Ġpeople             Ġare                Ġcounting           Ġon                 Ġme                 Ġto                 Ġhave               Ġmy                 Ġwife               Ġpay                Ġthem              
Timings          : (23.936, 24.056)    (24.056, 24.196)    (24.196, 24.406)    (24.406, 24.616)    (24.616, 24.926)    (24.926, 25.036)    (25.036, 25.466)    (25.466, 25.576)    (25.576, 25.982)    (25.982, 26.166)    (26.166, 26.326)    (26.326, 26.56)     (26.56, 26.866)     (26.866, 27.116)    (27.116, 27.299)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536      83632676929536     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
