A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġcan                't                  Ġgive               Ġuh                 Ġtoo                Ġgood               Ġa                  Ġperspective        Ġuh                
Timings          : (0.886, 0.996)      (0.996, 1.125)      (1.125, 1.21)       (1.21, 1.295)       (1.295, 1.415)      (1.415, 1.505)      (1.505, 1.635)      (1.635, 1.765)      (1.765, 2.079)      (2.079, 2.365)      (2.365, 2.595)      (2.595, 2.725)      (2.725, 2.795)      (2.795, 3.425)      (3.425, 3.624)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.886, 0.996)      (0.996, 1.125)      (1.125, 1.21)       (1.21, 1.295)       (1.295, 1.415)      (1.415, 1.505)      (1.505, 1.635)      (1.635, 1.765)      (1.765, 2.079)      (2.079, 2.365)      (2.365, 2.595)      (2.595, 2.725)      (2.725, 2.795)      (2.795, 3.425)      (3.425, 3.624)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhow                Ġthings             Ġhave               Ġchanged            Ġin                 Ġten                Ġtwenty             Ġor                 Ġthirty             Ġyears              <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.285, 4.413)      (4.515, 4.735)      (4.735, 4.885)      (4.885, 5.205)      (5.205, 5.345)      (5.725, 5.885)      (5.885, 6.155)      (6.155, 6.225)      (6.225, 6.515)      (6.515, 6.805)      (-1.0, -1.0)        (9.243, 9.365)      (9.365, 9.719)      (9.719, 10.073)     (11.27, 11.376)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      83649856798720      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġguess              Ġuh                 Ġi                 
Timings          : (4.285, 4.413)      (4.515, 4.735)      (4.735, 4.885)      (4.885, 5.205)      (5.205, 5.345)      (5.725, 5.885)      (5.885, 6.155)      (6.155, 6.225)      (6.225, 6.515)      (6.515, 6.805)      (8.075, 9.243)      (9.243, 9.365)      (9.365, 9.719)      (9.719, 10.073)     (11.27, 11.376)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83650393669633      83650393669633      83650393669633      83650393669633      83650393669633     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.376, 11.64)     (11.64, 11.7)       (11.7, 12.06)       (12.06, 12.403)     (12.843, 12.95)     (12.95, 13.075)     (13.15, 13.44)      (13.44, 13.53)      (13.53, 13.92)      (13.92, 14.11)      (14.11, 14.31)      (14.31, 14.539)     (14.539, 14.633)    (14.633, 14.728)    (14.728, 15.098)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġguess              Ġthe                Ġfirst              Ġthing              Ġyou                Ġknow               Ġcomes              Ġto                 Ġmind               Ġwould              Ġbe                 Ġhow                Ġthey               've                 Ġchanged           
Timings          : (11.376, 11.64)     (11.64, 11.7)       (11.7, 12.06)       (12.06, 12.403)     (12.843, 12.95)     (12.95, 13.075)     (13.15, 13.44)      (13.44, 13.53)      (13.53, 13.92)      (13.92, 14.11)      (14.11, 14.31)      (14.31, 14.539)     (14.539, 14.633)    (14.633, 14.728)    (14.728, 15.098)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633      83650393669633     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               <emp>               <emp>               <emp>               <emp>               Ġhow                Ġso                 <yield>             <emp>               <emp>              
Timings          : (15.226, 15.279)    (15.279, 15.34)     (15.34, 15.856)     (-1.0, -1.0)        (16.271, 16.755)    (16.645, 16.697)    (16.697, 16.877)    (16.877, 16.979)    (16.979, 17.441)    (-1.0, -1.0)        (19.192, 19.328)    (19.328, 19.629)    (-1.0, -1.0)        (21.991, 22.611)    (24.265, 24.35)    
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   0                   0                   83649856798722      83649856798722      83649856798722      83649856798722      83649856798722      0                   83649856798722      83649856798722      83649856798722      0                   0                  
turn_end_types   : 0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   2                   2                   2                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                   1                   1                   0                   0                  

B                : Ġto                 Ġthe                Ġworst              <eot>               in                  Ġa                  Ġlot                Ġof                 Ġways               <eint>              Ġyeah               <emp>               Ġwell               Ġyeah               Ġi                 
Timings          : (15.226, 15.279)    (15.279, 15.34)     (15.34, 15.856)     (-1.0, -1.0)        (16.544, 16.645)    (16.645, 16.697)    (16.697, 16.877)    (16.877, 16.979)    (16.979, 17.441)    (-1.0, -1.0)        (19.069, 19.521)    (19.328, 19.629)    (20.216, 20.524)    (21.991, 22.611)    (24.265, 24.35)    
Token Types      : 1                   1                   1                   1                   5                   5                   5                   5                   5                   5                   4                   4                   4                   4                   4                  
turn_ids         : 83650393669633      83650393669633      83650393669633      83650393669633      83654688636929      83654688636929      83654688636929      83654688636929      83654688636929      83654688636929      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>              
Timings          : (24.35, 24.747)     (25.394, 25.766)    (25.766, 26.066)    (26.066, 26.146)    (26.146, 26.206)    (26.206, 26.661)    (26.661, 27.087)    (27.087, 27.206)    (27.206, 27.496)    (27.496, 27.777)    (27.933, 28.221)    (28.221, 28.509)    (-1.0, -1.0)        (30.231, 30.499)    (32.447, 33.001)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83652004282370      83652004282370      83652004282370      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġguess              Ġbreak              Ġdown               Ġof                 Ġthe                Ġfamily             Ġunit               Ġfor                Ġone                Ġthing              <emp>               <emp>               Ġthe                Ġuh                 Ġastounding        
Timings          : (24.35, 24.747)     (25.394, 25.766)    (25.766, 26.066)    (26.066, 26.146)    (26.146, 26.206)    (26.206, 26.661)    (26.661, 27.087)    (27.087, 27.206)    (27.206, 27.496)    (27.496, 27.777)    (27.933, 28.221)    (28.221, 28.509)    (29.948, 30.231)    (30.231, 30.499)    (32.447, 33.001)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.001, 33.307)    (33.307, 33.667)    (33.667, 33.802)    (33.802, 33.937)    (33.937, 34.126)    (34.496, 34.757)    (34.757, 35.087)    (35.087, 35.194)    (35.981, 36.294)    (-1.0, -1.0)        (39.02, 39.565)     (39.565, 39.695)    (39.695, 39.855)    (39.855, 40.128)    (40.237, 40.495)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83652004282371      83652004282371      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġdrug               Ġuse                Ġthat               's                  Ġuh                 Ġgoing              Ġon                 Ġand                <emp>               Ġpretty             Ġdepressing         Ġif                 Ġyou                Ġstart              Ġthinking          
Timings          : (33.001, 33.307)    (33.307, 33.667)    (33.667, 33.802)    (33.802, 33.937)    (33.937, 34.126)    (34.496, 34.757)    (34.757, 35.087)    (35.087, 35.194)    (35.981, 36.294)    (38.77, 39.02)      (39.02, 39.565)     (39.565, 39.695)    (39.695, 39.855)    (39.855, 40.128)    (40.237, 40.495)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      83653614895107     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġuh                 Ġi                  Ġdon                't                  Ġknow               Ġit                 's                  Ġyou               
Timings          : (40.495, 40.736)    (40.736, 40.855)    (40.855, 40.929)    (40.929, 41.183)    (42.636, 43.069)    (43.069, 43.269)    (43.269, 43.468)    (43.468, 43.751)    (44.093, 44.214)    (44.214, 44.276)    (44.276, 44.339)    (44.339, 44.589)    (44.589, 44.818)    (44.818, 45.048)    (45.296, 45.36)    
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġabout              Ġit                 Ġi                  Ġguess              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (40.495, 40.736)    (40.736, 40.855)    (40.855, 40.929)    (40.929, 41.183)    (-1.0, -1.0)        (43.069, 43.269)    (43.269, 43.468)    (43.468, 43.751)    (44.093, 44.214)    (44.214, 44.276)    (44.276, 44.339)    (44.339, 44.589)    (44.589, 44.818)    (44.818, 45.048)    (45.296, 45.36)    
Token Types      : 4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83653614895107      83653614895107      83653614895107      83653614895107      83653614895107      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġi                  Ġlived              Ġin                 Ġbasically          Ġit                 's                  Ġa                  Ġsuburb             Ġof                 Ġwashing            ton                 Ġdc                 <eot>               Ġum                
Timings          : (45.36, 45.508)     (45.508, 45.639)    (45.639, 45.938)    (45.938, 46.141)    (46.435, 46.859)    (46.859, 46.933)    (46.933, 47.008)    (47.008, 47.207)    (47.417, 47.734)    (47.734, 48.039)    (48.039, 48.273)    (48.273, 48.508)    (48.508, 49.019)    (-1.0, -1.0)        (49.696, 50.043)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798724      83649856798726     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 <eot>              
Timings          : (45.36, 45.508)     (45.508, 45.639)    (45.639, 45.938)    (45.938, 46.141)    (46.435, 46.859)    (46.859, 46.933)    (46.933, 47.008)    (47.008, 47.207)    (47.417, 47.734)    (47.734, 48.039)    (48.039, 48.273)    (48.273, 48.508)    (48.508, 49.019)    (49.28, 49.634)     (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83650393669637      83650393669637     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġso                 Ġi                  Ġyou                Ġknow               Ġluckily            Ġi                  'm                  Ġin                 Ġa                  Ġgood               Ġarea               Ġso                 Ġyou                Ġknow               Ġi                 
Timings          : (50.204, 50.658)    (50.782, 50.925)    (51.116, 51.226)    (51.226, 51.458)    (52.08, 52.386)     (52.386, 52.481)    (52.481, 52.576)    (53.13, 53.249)     (53.249, 53.326)    (53.326, 53.51)     (53.838, 54.266)    (54.266, 54.506)    (54.506, 54.626)    (54.626, 54.766)    (54.766, 54.836)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (50.204, 50.658)    (50.782, 50.925)    (51.116, 51.226)    (51.226, 51.458)    (52.08, 52.386)     (52.386, 52.481)    (52.481, 52.576)    (53.13, 53.249)     (53.249, 53.326)    (53.326, 53.51)     (53.838, 54.266)    (54.266, 54.506)    (54.506, 54.626)    (54.626, 54.766)    (54.766, 54.836)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdon                't                  Ġhave               Ġto                 Ġreally             Ġdeal               Ġwith               Ġa                  Ġlot                Ġof                 Ġthe                Ġproblems           Ġthat               Ġdc                 Ġhas               
