A                : well                Ġthe                Ġso                 v                   iet                 Ġunion              Ġuh                 Ġnow                Ġreally             Ġcalled             Ġthe                Ġcommon             wealth              Ġof                 Ġindependent       
Timings          : (0.393, 0.612)      (0.612, 0.746)      (0.746, 0.866)      (0.866, 0.986)      (0.986, 1.106)      (1.106, 1.646)      (1.646, 1.866)      (1.866, 2.243)      (2.484, 2.694)      (2.694, 2.932)      (2.932, 3.071)      (3.071, 3.309)      (3.309, 3.546)      (3.546, 3.636)      (3.636, 4.311)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.393, 0.612)      (0.612, 0.746)      (0.746, 0.866)      (0.866, 0.986)      (0.986, 1.106)      (1.106, 1.646)      (1.646, 1.866)      (1.866, 2.243)      (2.484, 2.694)      (2.694, 2.932)      (2.932, 3.071)      (3.071, 3.309)      (3.309, 3.546)      (3.546, 3.636)      (3.636, 4.311)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġstates             Ġum                 Ġis                 Ġa                  Ġmess               Ġum                 Ġuh                 Ġi                  Ġthink              Ġone                Ġof                 Ġthe                Ġbiggest            Ġthings             Ġwe                
Timings          : (4.311, 4.947)      (5.722, 6.172)      (6.172, 6.362)      (6.362, 6.432)      (6.432, 6.893)      (7.966, 8.508)      (9.262, 9.472)      (9.472, 9.562)      (9.562, 9.812)      (9.812, 9.902)      (9.902, 9.962)      (9.962, 10.022)     (10.022, 10.452)    (10.452, 10.976)    (10.976, 11.051)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.311, 4.947)      (5.722, 6.172)      (6.172, 6.362)      (6.362, 6.432)      (6.432, 6.893)      (7.966, 8.508)      (9.262, 9.472)      (9.472, 9.562)      (9.562, 9.812)      (9.812, 9.902)      (9.902, 9.962)      (9.962, 10.022)     (10.022, 10.452)    (10.452, 10.976)    (10.976, 11.051)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġto                 Ġworry              Ġabout              Ġis                 Ġthe                Ġuh                 Ġcontrol            Ġof                 Ġnuclear            Ġarms               Ġespecially         Ġu                  k                   raine              
Timings          : (11.051, 11.122)    (11.122, 11.212)    (11.212, 11.356)    (11.356, 11.608)    (11.608, 11.839)    (11.895, 12.402)    (12.402, 12.583)    (12.583, 13.042)    (13.042, 13.123)    (13.123, 13.632)    (13.632, 14.17)     (14.694, 15.455)    (15.455, 15.677)    (15.677, 15.899)    (15.899, 16.122)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640      83735756144640     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.051, 11.122)    (11.122, 11.212)    (11.212, 11.356)    (11.356, 11.608)    (11.608, 11.839)    (11.895, 12.402)    (12.402, 12.583)    (12.583, 13.042)    (13.042, 13.123)    (13.123, 13.632)    (13.632, 14.17)     (14.694, 15.455)    (15.455, 15.677)    (15.677, 15.899)    (15.899, 16.122)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


