A                : so                  Ġuh                 Ġwhat               Ġuh                 Ġkind               Ġof                 Ġclothing           Ġdo                 Ġyou                Ġhave               Ġto                 Ġwear               Ġfor                Ġwork               <eot>              
Timings          : (0.755, 1.139)      (1.139, 1.658)      (2.215, 2.33)       (2.477, 3.003)      (3.334, 3.454)      (3.454, 3.529)      (3.529, 3.967)      (3.967, 4.027)      (4.027, 4.117)      (4.117, 4.287)      (4.287, 4.397)      (4.397, 4.557)      (4.557, 4.707)      (4.707, 5.117)      (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824      83752936013824     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well               
Timings          : (0.755, 1.139)      (1.139, 1.658)      (2.215, 2.33)       (2.477, 3.003)      (3.334, 3.454)      (3.454, 3.529)      (3.529, 3.967)      (3.967, 4.027)      (4.027, 4.117)      (4.117, 4.287)      (4.287, 4.397)      (4.397, 4.557)      (4.557, 4.707)      (4.707, 5.117)      (7.261, 7.943)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83753472884737     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (7.943, 8.308)      (8.618, 8.863)      (8.863, 9.162)      (9.162, 9.212)      (9.212, 9.903)      (10.111, 10.512)    (11.669, 11.757)    (11.757, 11.846)    (11.846, 11.918)    (11.918, 12.728)    (12.728, 12.888)    (12.888, 13.058)    (13.058, 13.528)    (13.528, 13.748)    (13.748, 13.808)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġi                  Ġbear               Ġa                  Ġvariety            Ġuh                 Ġi                  'm                  Ġa                  Ġsupervisor         Ġout                Ġat                 Ġti                 Ġso                 Ġi                 
Timings          : (7.943, 8.308)      (8.618, 8.863)      (8.863, 9.162)      (9.162, 9.212)      (9.212, 9.903)      (10.111, 10.512)    (11.669, 11.757)    (11.757, 11.846)    (11.846, 11.918)    (11.918, 12.728)    (12.728, 12.888)    (12.888, 13.058)    (13.058, 13.528)    (13.528, 13.748)    (13.748, 13.808)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
