A                : well                Ġi                  Ġhaven              't                  Ġhad                Ġan                 Ġawful              Ġlot                Ġof                 Ġuh                 Ġincidents          Ġin                 Ġregarding          Ġchild              Ġcare              
Timings          : (0.101, 0.204)      (0.204, 0.24)       (0.24, 0.35)        (0.35, 0.46)        (0.46, 0.66)        (0.66, 0.81)        (0.81, 1.05)        (1.05, 1.259)       (1.259, 1.519)      (1.519, 1.702)      (1.702, 2.339)      (2.339, 2.475)      (2.475, 2.93)       (2.93, 3.27)        (3.27, 3.667)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008      83770115883008     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.101, 0.204)      (0.204, 0.24)       (0.24, 0.35)        (0.35, 0.46)        (0.46, 0.66)        (0.66, 0.81)        (0.81, 1.05)        (1.05, 1.259)       (1.259, 1.519)      (1.519, 1.702)      (1.702, 2.339)      (2.339, 2.475)      (2.475, 2.93)       (2.93, 3.27)        (3.27, 3.667)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhen               Ġmy                 Ġtwo                Ġyear               Ġold                Ġwas                Ġin                 Ġnew                Ġor                 leans               Ġshe                Ġgot                Ġbit                Ġon                 Ġthe               
Timings          : (3.667, 3.881)      (4.294, 4.404)      (4.404, 4.56)       (4.56, 4.77)        (4.77, 4.91)        (4.91, 5.07)        (5.07, 5.2)         (5.2, 5.35)         (5.35, 5.55)        (5.55, 5.75)        (5.75, 5.88)        (5.88, 6.04)        (6.143, 6.237)      (6.237, 6.37)       (6.37, 6.46)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
