A                : ok                  ay                  Ġuh                 Ġso                 Ġyour               Ġyou                Ġyou                Ġi                  Ġguess              Ġuh                 Ġyou                're                 Ġprobably           Ġin                 Ġthe               
Timings          : (0.711, 1.001)      (1.001, 1.291)      (1.291, 1.794)      (2.751, 3.024)      (3.024, 3.356)      (3.356, 3.514)      (3.514, 3.66)       (3.66, 3.79)        (3.79, 4.151)       (4.151, 4.396)      (4.396, 4.483)      (4.483, 4.57)       (4.57, 4.924)       (4.924, 5.0)        (5.0, 5.133)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.711, 1.001)      (1.001, 1.291)      (1.291, 1.794)      (2.751, 3.024)      (3.024, 3.356)      (3.356, 3.514)      (3.514, 3.66)       (3.66, 3.79)        (3.79, 4.151)       (4.151, 4.396)      (4.396, 4.483)      (4.483, 4.57)       (4.57, 4.924)       (4.924, 5.0)        (5.0, 5.133)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsame               Ġuh                 Ġsame               Ġsituation          Ġuh                 Ġwe                 're                 Ġin                 Ġwe                 're                 Ġkind               Ġof                 Ġpast               Ġhaving             Ġto                
Timings          : (5.133, 5.562)      (5.909, 6.38)       (6.38, 6.68)        (6.68, 7.43)        (7.43, 7.802)       (8.115, 8.242)      (8.242, 8.37)       (8.37, 8.51)        (8.51, 8.555)       (8.555, 8.6)        (8.6, 8.79)         (8.79, 8.939)       (8.939, 9.487)      (9.943, 10.23)      (10.23, 10.32)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.133, 5.562)      (5.909, 6.38)       (6.38, 6.68)        (6.68, 7.43)        (7.43, 7.802)       (8.115, 8.242)      (8.242, 8.37)       (8.37, 8.51)        (8.51, 8.555)       (8.555, 8.6)        (8.6, 8.79)         (8.79, 8.939)       (8.939, 9.487)      (9.943, 10.23)      (10.23, 10.32)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġprovide            Ġchild              Ġcare               Ġour                Ġour                Ġkids               Ġare                Ġgrown              Ġup                 Ġwe                 Ġdon                't                  Ġhave               Ġany                Ġgrandchildren     
Timings          : (10.32, 10.74)      (10.74, 11.03)      (11.03, 11.26)      (11.26, 11.513)     (11.513, 11.735)    (11.735, 11.958)    (11.958, 12.041)    (12.041, 12.28)     (12.28, 12.4)       (12.4, 12.46)       (12.46, 12.545)     (12.545, 12.63)     (12.63, 12.72)      (12.72, 12.82)      (12.82, 13.49)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.32, 10.74)      (10.74, 11.03)      (11.03, 11.26)      (11.26, 11.513)     (11.513, 11.735)    (11.735, 11.958)    (11.958, 12.041)    (12.041, 12.28)     (12.28, 12.4)       (12.4, 12.46)       (12.46, 12.545)     (12.545, 12.63)     (12.63, 12.72)      (12.72, 12.82)      (12.82, 13.49)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyet                Ġbut                Ġuh                 <emp>               Ġuh                 Ġthey               're                 <yield>             <emp>               <emp>               <emp>               Ġuh                 Ġone                's                  Ġtwenty            
Timings          : (13.49, 13.73)      (13.907, 14.22)     (14.22, 14.424)     (14.427, 14.581)    (15.136, 15.509)    (15.509, 15.64)     (15.64, 15.77)      (-1.0, -1.0)        (15.933, 16.027)    (16.027, 16.171)    (16.171, 16.584)    (16.882, 17.526)    (17.526, 17.671)    (17.671, 17.817)    (17.817, 18.107)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      83787295752192      0                   0                   0                   83787295752194      83787295752194      83787295752194      83787295752194     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                  

B                : <emp>               uh                  h                   uh                  <emp>               <emp>               Ġhow                Ġold                Ġare                Ġyour               Ġchildren           <eot>               <emp>               <emp>               <emp>              
Timings          : (13.49, 13.73)      (14.12, 14.273)     (14.273, 14.427)    (14.427, 14.581)    (15.136, 15.509)    (15.509, 15.64)     (15.614, 15.815)    (15.815, 15.933)    (15.933, 16.027)    (16.027, 16.171)    (16.171, 16.584)    (-1.0, -1.0)        (17.526, 17.671)    (17.671, 17.817)    (17.817, 18.107)   
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                  
turn_ids         : 0                   83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      83791053848577      0                   0                   0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġsix                Ġand                Ġthe                Ġother              Ġis                 Ġuh                 Ġtwenty             Ġtwenty             Ġone                <emp>               <emp>               <emp>               Ġso                 Ġthey               're                
Timings          : (18.107, 18.587)    (18.587, 18.807)    (18.807, 18.937)    (18.937, 19.377)    (19.377, 19.796)    (19.796, 20.249)    (20.249, 20.688)    (20.944, 21.137)    (21.137, 21.431)    (21.64, 21.774)     (21.774, 21.909)    (21.909, 22.043)    (22.615, 22.907)    (22.907, 23.068)    (23.068, 23.228)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194      83787295752194     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>              
Timings          : (18.107, 18.587)    (18.587, 18.807)    (18.807, 18.937)    (18.937, 19.377)    (19.377, 19.796)    (19.796, 20.249)    (20.249, 20.688)    (20.944, 21.137)    (21.137, 21.431)    (21.64, 21.774)     (21.774, 21.909)    (21.909, 22.043)    (-1.0, -1.0)        (22.907, 23.068)    (23.068, 23.228)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83789980106753      83789980106753      83789980106753      83789980106753      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                  


A                : Ġuh                 Ġum                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthey               're                 Ġthey               're                 Ġgetting            Ġthere             
Timings          : (23.228, 23.654)    (24.573, 25.708)    (-1.0, -1.0)        (25.813, 25.863)    (25.863, 25.913)    (25.913, 26.083)    (26.083, 26.163)    (26.163, 26.423)    (26.423, 26.776)    (26.762, 26.904)    (26.904, 27.046)    (27.046, 27.13)     (27.13, 27.214)     (27.214, 27.474)    (27.474, 27.684)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752194      83787295752194      83787295752194      0                   0                   0                   0                   0                   0                   83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

