A                : uh                  Ġwith               Ġregard             Ġto                 Ġuh                 Ġto                 Ġjury               Ġtrials             Ġi                  Ġyou                Ġknow               Ġi                  Ġi                  Ġreally             Ġfeel              
Timings          : (0.424, 0.652)      (0.652, 0.815)      (0.815, 1.325)      (1.325, 1.615)      (1.615, 1.825)      (1.825, 2.105)      (2.215, 2.654)      (2.707, 3.315)      (3.315, 3.476)      (3.539, 3.635)      (3.635, 3.755)      (3.755, 3.965)      (3.965, 4.125)      (4.125, 4.485)      (4.485, 4.845)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (0.424, 0.652)      (0.652, 0.815)      (0.815, 1.325)      (1.325, 1.615)      (1.615, 1.825)      (1.825, 2.105)      (2.215, 2.654)      (2.707, 3.315)      (3.315, 3.476)      (3.539, 3.635)      (3.635, 3.755)      (3.755, 3.965)      (3.965, 4.125)      (4.125, 4.485)      (4.485, 4.845)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġas                 Ġthough             Ġuh                 Ġjury               Ġtrials             Ġare                Ġare                Ġuh                 Ġwhatever           Ġsystem             Ġhas                Ġbeen               Ġbeen               Ġused               Ġhistorically      
Timings          : (4.845, 4.955)      (4.955, 5.221)      (5.567, 5.761)      (5.806, 6.055)      (6.055, 6.615)      (6.615, 6.893)      (7.281, 7.669)      (7.775, 8.317)      (8.449, 8.825)      (8.825, 9.335)      (9.335, 9.675)      (9.675, 10.214)     (10.376, 10.579)    (10.579, 11.125)    (11.125, 11.825)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.845, 4.955)      (4.955, 5.221)      (5.567, 5.761)      (5.806, 6.055)      (6.055, 6.615)      (6.615, 6.893)      (7.281, 7.669)      (7.775, 8.317)      (8.449, 8.825)      (8.825, 9.335)      (9.335, 9.675)      (9.675, 10.214)     (10.376, 10.579)    (10.579, 11.125)    (11.125, 11.825)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġparticular         Ġjurisdiction       Ġyou                Ġknow               Ġis                 Ġreally             Ġthe                Ġthe                Ġonly               Ġkinds              Ġof                 Ġthings             Ġthat               Ġyou               
Timings          : (11.825, 11.975)    (12.4, 12.935)      (12.935, 13.666)    (14.31, 14.37)      (14.37, 14.486)     (14.486, 14.763)    (14.763, 15.143)    (15.143, 15.324)    (15.37, 15.569)     (15.626, 15.963)    (15.963, 16.513)    (16.513, 16.623)    (16.623, 16.943)    (16.943, 17.083)    (17.083, 17.223)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584      84010634051584     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.825, 11.975)    (12.4, 12.935)      (12.935, 13.666)    (14.31, 14.37)      (14.37, 14.486)     (14.486, 14.763)    (14.763, 15.143)    (15.143, 15.324)    (15.37, 15.569)     (15.626, 15.963)    (15.963, 16.513)    (16.513, 16.623)    (16.623, 16.943)    (16.943, 17.083)    (17.083, 17.223)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


